Event	Count
AIFULLSTOP CALLSITE	104
AISETSTATE CALLSITE	510
C1 CLEANUP FULFILLED	107
C1 FINALIZATION	175
C1 INVARIANT WARNING	7
C1 LIFECYCLE START	186
C1 LIFECYCLE STATUS	186
C1 OFFENSE REQUEST	130
C1-O2 OUTER BINDING	209
COMBATMOVE FULLSTOP STACK	60
COMBATMOVE STARTRECOVER BEGIN	109
COMBATMOVE STARTRECOVER END	109
EMPTY-PRIMARY SUCCESSOR STACK	784
ENGINE SetCollisionGroup	307
HIT STARTRECOVER BEGIN STACK	68
MARKER OWNERSHIP DECISION	109
NATIVE CLEANUP CALL SITE	110
OUTER_FRAME AI_SET_STATE_AFTER	510
OUTER_FRAME AI_SET_STATE_BEFORE	510
OUTER_FRAME CLEANUP	110
OUTER_FRAME COMBAT_MOVE_INITIAL	323
OUTER_FRAME OFFENSE	137
PRIMARYFIRST PlayMotion	784
PRIMARYFIRST StopMotion	669
