StartLine	EndLine	Event	SelectedFields
90029	90053	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=387740.461 | Actor=ReddockOrcScout01 | CurrentAction=10 | CurrentStateTime=0.000000
90054	90078	MARKER OWNERSHIP DECISION	ElapsedMs=387740.840 | Actor=ReddockOrcScout01 | CurrentMovementAni=Orc_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
90079	90103	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=387884.635 | Actor=ReddockOrcWarrior01 | CurrentAction=10 | CurrentStateTime=0.000000
90104	90128	MARKER OWNERSHIP DECISION	ElapsedMs=387884.783 | Actor=ReddockOrcWarrior01 | CurrentMovementAni=Orc_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
90129	90155	ENGINE SetCollisionGroup	ElapsedMs=387997.173 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=5 | PlayerStateTime=0.967942 | PlayerCurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
90156	90195	AISETSTATE CALLSITE	ElapsedMs=388123.104 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.092940 | CurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
90196	90220	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=388123.171 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.092940
90221	90245	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=388123.194 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
90246	90272	ENGINE SetCollisionGroup	ElapsedMs=388134.452 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=5 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
90273	90289	C1 LIFECYCLE START	ElapsedMs=388134.578 | Actor=PC_Hero | Generation=121 | Status=CANDIDATE | PhysicalCollisionChanged=0
90290	90303	C1-O2 OUTER BINDING	ElapsedMs=388134.597 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=121 | Status=CANDIDATE | PhysicalCollisionChanged=0
90304	90328	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=388134.608 | Actor=PC_Hero | CurrentAction=15 | CurrentStateTime=0.000000
90329	90353	PRIMARYFIRST StopMotion	ElapsedMs=388134.647
90354	90385	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=388134.672 | Actor=PC_Hero
90386	90410	PRIMARYFIRST PlayMotion	ElapsedMs=388134.671
90411	90421	C1 LIFECYCLE STATUS	ElapsedMs=388134.820 | Event=PERSISTED | Actor=PC_Hero | Generation=121 | Status=PERSISTED | PhysicalCollisionChanged=0
90422	90465	AIFULLSTOP CALLSITE	ElapsedMs=388156.535 | Actor=PC_Hero | CurrentAction=15 | CurrentAniPhase=0 | CurrentStateTime=0.022010 | CurrentMovementAni=Hero_Parade_None_2H_P0_FinishingAttack_Raise_N_Fwd_00_%_00_P0_0.xmot
90466	90502	COMBATMOVE FULLSTOP STACK	ElapsedMs=388156.774 | Actor=PC_Hero | CurrentAction=15 | CurrentAniPhase=0 | CurrentStateTime=0.022010 | CurrentMovementAni=Hero_Parade_None_2H_P0_FinishingAttack_Raise_N_Fwd_00_%_00_P0_0.xmot
90503	90543	AISETSTATE CALLSITE	ElapsedMs=388156.910 | Actor=PC_Hero | CurrentAction=15 | CurrentAniPhase=0 | CurrentStateTime=0.022010 | CurrentMovementAni=Hero_Parade_None_2H_P0_FinishingAttack_Raise_N_Fwd_00_%_00_P0_0.xmot
90544	90568	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=388156.956 | Actor=PC_Hero | CurrentAction=15 | CurrentStateTime=0.022010
90569	90590	C1 FINALIZATION	ElapsedMs=388156.981 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=121 | Status=PERSISTED | PhysicalCollisionChanged=0
90591	90615	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=388157.002 | Actor=PC_Hero | CurrentAction=15 | CurrentStateTime=0.000000
90616	90632	C1 LIFECYCLE START	ElapsedMs=388158.175 | Actor=PC_Hero | Generation=122 | Status=CANDIDATE | PhysicalCollisionChanged=0
90633	90646	C1-O2 OUTER BINDING	ElapsedMs=388158.200 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=122 | Status=CANDIDATE | PhysicalCollisionChanged=0
90647	90671	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=388158.254 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
90672	90696	PRIMARYFIRST StopMotion	ElapsedMs=388158.296
90697	90728	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=388158.323 | Actor=PC_Hero
90729	90753	PRIMARYFIRST PlayMotion	ElapsedMs=388158.322
90754	90764	C1 LIFECYCLE STATUS	ElapsedMs=388158.416 | Event=PERSISTED | Actor=PC_Hero | Generation=122 | Status=PERSISTED | PhysicalCollisionChanged=0
90765	90789	MARKER OWNERSHIP DECISION	ElapsedMs=388158.431 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
