Event	Count
AIFULLSTOP CALLSITE	235
AISETSTATE CALLSITE	878
C1 CLEANUP FULFILLED	188
C1 FINALIZATION	333
C1 INVARIANT WARNING	9
C1 LIFECYCLE START	389
C1 LIFECYCLE STATUS	389
C1 OFFENSE REQUEST	221
C1-O2 OUTER BINDING	412
COMBATMOVE FULLSTOP STACK	147
COMBATMOVE STARTRECOVER BEGIN	224
COMBATMOVE STARTRECOVER END	224
EMPTY-PRIMARY SUCCESSOR STACK	1683
ENGINE SetCollisionGroup	992
HIT STARTRECOVER BEGIN STACK	106
HIT STOP STACK	1
MARKER OWNERSHIP DECISION	271
NATIVE CLEANUP CALL SITE	195
OUTER_FRAME AI_SET_STATE_AFTER	878
OUTER_FRAME AI_SET_STATE_BEFORE	878
OUTER_FRAME CLEANUP	202
OUTER_FRAME COMBAT_MOVE_INITIAL	1359
OUTER_FRAME OFFENSE	230
PRIMARYFIRST PlayMotion	1683
PRIMARYFIRST StopMotion	1596
