StartLine	EndLine	Event	SelectedFields
315855	315884	OUTER_FRAME OFFENSE	ElapsedMs=775515.833 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.000000
315885	315906	C1 LIFECYCLE START	ElapsedMs=775515.864 | Actor=PC_Hero | Generation=947 | Status=CANDIDATE | PhysicalCollisionChanged=0
315907	315920	C1-O2 OUTER BINDING	ElapsedMs=775515.887 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=947 | Status=CANDIDATE | PhysicalCollisionChanged=0
315921	315945	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=775515.900 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
315946	315970	PRIMARYFIRST StopMotion	ElapsedMs=775515.980
315971	316002	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=775516.005 | Actor=PC_Hero
316003	316027	PRIMARYFIRST PlayMotion	ElapsedMs=775516.004
316028	316038	C1 LIFECYCLE STATUS	ElapsedMs=775516.098 | Event=PERSISTED | Actor=PC_Hero | Generation=947 | Status=PERSISTED | PhysicalCollisionChanged=0
316039	316063	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=775528.764 | Actor=Orc_Raider_Warrior_01 | CurrentAction=26 | CurrentStateTime=0.000000
316064	316080	C1 OFFENSE REQUEST	ElapsedMs=775618.256 | Actor=PC_Hero | Generation=947 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | ActualGroup=7 | PhysicalCollisionChanged=0
316081	316107	ENGINE SetCollisionGroup	ElapsedMs=775618.291 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.102998 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
316108	316137	OUTER_FRAME OFFENSE	ElapsedMs=775618.315 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.102998
316138	316162	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=775643.900 | Actor=Orc_Camp_Warrior_01 | CurrentAction=1 | CurrentStateTime=0.000000
316163	316187	MARKER OWNERSHIP DECISION	ElapsedMs=775643.986 | Actor=Orc_Camp_Warrior_01 | CurrentMovementAni=Orc_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_140_R.xmot
316188	316232	AIFULLSTOP CALLSITE	ElapsedMs=775677.532 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentStateTime=0.175995 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
316233	316270	COMBATMOVE FULLSTOP STACK	ElapsedMs=775677.610 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentStateTime=0.175995 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
316271	316287	C1 CLEANUP FULFILLED	ElapsedMs=775691.426 | Actor=PC_Hero | Generation=947 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | ActualGroup=5 | PhysicalCollisionChanged=0
316288	316314	ENGINE SetCollisionGroup	ElapsedMs=775691.459 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
316315	316335	NATIVE CLEANUP CALL SITE	ElapsedMs=775691.482 | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
316336	316365	OUTER_FRAME CLEANUP	ElapsedMs=775691.510 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=30 | CurrentStateTime=0.000000
316366	316387	C1 LIFECYCLE START	ElapsedMs=775693.051 | Actor=PC_Hero | Generation=950 | Status=CANDIDATE | PhysicalCollisionChanged=0
316388	316412	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=775693.074 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
316413	316437	PRIMARYFIRST StopMotion	ElapsedMs=775696.494
316438	316468	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=775696.524 | Actor=PC_Hero
316469	316493	PRIMARYFIRST PlayMotion	ElapsedMs=775696.523
316494	316504	C1 LIFECYCLE STATUS	ElapsedMs=775696.617 | Event=PERSISTED | Actor=PC_Hero | Generation=950 | Status=PERSISTED | PhysicalCollisionChanged=0
