Event	Count
AIFULLSTOP CALLSITE	30
AISETSTATE CALLSITE	83
C1 CLEANUP FULFILLED	23
C1 FINALIZATION	35
C1 INVARIANT WARNING	4
C1 LIFECYCLE START	44
C1 LIFECYCLE STATUS	44
C1 OFFENSE REQUEST	23
C1-O2 OUTER BINDING	39
C1-O2-P1 DISPATCH RETURN	4
C1-O2-P1 OFFENSE SCOPE	27
COMBATMOVE FULLSTOP STACK	12
COMBATMOVE STARTRECOVER BEGIN	28
COMBATMOVE STARTRECOVER END	28
EMPTY-PRIMARY SUCCESSOR STACK	170
ENGINE SetCollisionGroup	66
HIT STARTRECOVER BEGIN STACK	15
MARKER OWNERSHIP DECISION	20
NATIVE CLEANUP CALL SITE	23
OUTER_FRAME AI_SET_STATE_AFTER	83
OUTER_FRAME AI_SET_STATE_BEFORE	83
OUTER_FRAME CLEANUP	23
OUTER_FRAME COMBAT_MOVE_INITIAL	90
OUTER_FRAME OFFENSE	27
PRIMARYFIRST PlayMotion	170
PRIMARYFIRST StopMotion	166
