StartLine	EndLine	Event	SelectedFields
21820	21846	ENGINE SetCollisionGroup	ElapsedMs=80371.569 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.111985 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21847	21866	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=80371.596 | SourceAddress=E700FE10
21867	21896	OUTER_FRAME OFFENSE	ElapsedMs=80371.610 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.111985
21897	21919	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=80663.332 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21920	21943	HIT STARTRECOVER BEGIN STACK	ElapsedMs=80663.384 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentStateTime=0.402969 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21944	21968	PRIMARYFIRST StopMotion	ElapsedMs=80663.440
21969	21995	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=80663.470 | Actor=PC_Hero
21996	22020	PRIMARYFIRST PlayMotion	ElapsedMs=80663.469
22021	22043	COMBATMOVE STARTRECOVER END	ElapsedMs=80663.575 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22044	22060	C1 CLEANUP FULFILLED	ElapsedMs=80663.626 | Actor=PC_Hero | Generation=61 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | ActualGroup=5 | PhysicalCollisionChanged=0
22061	22087	ENGINE SetCollisionGroup	ElapsedMs=80663.643 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=30 | PlayerAniPhase=3 | PlayerStateTime=0.402969 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22088	22108	NATIVE CLEANUP CALL SITE	ElapsedMs=80663.663 | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
22109	22138	OUTER_FRAME CLEANUP	ElapsedMs=80663.686 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=30 | CurrentStateTime=0.402969
22139	22178	AISETSTATE CALLSITE	ElapsedMs=80663.728 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22179	22203	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=80663.766 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
22204	22226	C1 FINALIZATION	ElapsedMs=80663.805 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=61 | Status=PERSISTED | PhysicalCollisionChanged=0
22227	22251	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=80663.839 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
22252	22278	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=80922.556 | Actor=PC_Hero
22279	22303	PRIMARYFIRST PlayMotion	ElapsedMs=80922.554
22304	22328	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=81111.238 | Actor=Golem | CurrentAction=1 | CurrentStateTime=0.000000
22329	22373	AIFULLSTOP CALLSITE	ElapsedMs=81353.736 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.690929 | CurrentMovementAni=Hero_Stand_None_2H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
22374	22390	C1 LIFECYCLE START	ElapsedMs=81366.331 | Actor=PC_Hero | Generation=63 | Status=CANDIDATE | PhysicalCollisionChanged=0
22391	22404	C1-O2 OUTER BINDING	ElapsedMs=81366.362 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=63 | Status=CANDIDATE | PhysicalCollisionChanged=0
22405	22429	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=81366.374 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22430	22454	PRIMARYFIRST StopMotion	ElapsedMs=81366.410
22455	22487	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=81366.435 | Actor=PC_Hero
22488	22512	PRIMARYFIRST PlayMotion	ElapsedMs=81366.434
22513	22523	C1 LIFECYCLE STATUS	ElapsedMs=81366.534 | Event=PERSISTED | Actor=PC_Hero | Generation=63 | Status=PERSISTED | PhysicalCollisionChanged=0
22524	22550	ENGINE SetCollisionGroup	ElapsedMs=81366.643 | RequestedGroup=7 | BeforeGroup=0 | AfterGroup=0 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.011010 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22551	22573	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=81682.391 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22574	22598	PRIMARYFIRST StopMotion	ElapsedMs=81682.462
22599	22625	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=81682.489 | Actor=PC_Hero
22626	22650	PRIMARYFIRST PlayMotion	ElapsedMs=81682.488
22651	22673	COMBATMOVE STARTRECOVER END	ElapsedMs=81682.573 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22674	22713	AISETSTATE CALLSITE	ElapsedMs=81682.629 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22714	22738	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=81682.669 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22739	22761	C1 FINALIZATION	ElapsedMs=81682.692 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=63 | Status=PERSISTED | PhysicalCollisionChanged=0
22762	22786	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=81682.714 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22787	22813	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=82162.562 | Actor=PC_Hero
22814	22838	PRIMARYFIRST PlayMotion	ElapsedMs=82162.560
22839	22863	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=82753.050 | Actor=Golem | CurrentAction=1 | CurrentStateTime=0.000000
22864	22908	AIFULLSTOP CALLSITE	ElapsedMs=83002.158 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.319916 | CurrentMovementAni=Hero_Stand_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
22909	22925	C1 LIFECYCLE START	ElapsedMs=83014.304 | Actor=PC_Hero | Generation=65 | Status=CANDIDATE | PhysicalCollisionChanged=0
22926	22939	C1-O2 OUTER BINDING	ElapsedMs=83014.334 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=65 | Status=CANDIDATE | PhysicalCollisionChanged=0
22940	22964	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=83014.346 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22965	22989	PRIMARYFIRST StopMotion	ElapsedMs=83014.411
22990	23022	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=83014.465 | Actor=PC_Hero
23023	23047	PRIMARYFIRST PlayMotion	ElapsedMs=83014.464
23048	23058	C1 LIFECYCLE STATUS	ElapsedMs=83014.564 | Event=PERSISTED | Actor=PC_Hero | Generation=65 | Status=PERSISTED | PhysicalCollisionChanged=0
