Line	Event	Signal	Text
21	<none>	WOULD_REPAIR	STEP C1 SHADOW LIFECYCLE GUARD: event-driven execution/source obligations; WOULD_REPAIR only; no physical repair.
1817	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
1850	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
1870	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
2928	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
2961	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
2981	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
3694	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
3727	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
3747	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
4564	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
4597	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
4617	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
5457	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
5490	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
5510	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
7365	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
7398	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
7418	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
8031	AISETSTATE CALLSITE	EXTRA_01	RequestedState: ZS_SitKnockDown_GetUpAttack
8101	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	TopScriptName: ZS_SitKnockDown_GetUpAttack
8107	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
8117	C1 INVARIANT WARNING	C1_INVARIANT_WARNING	===== C1 INVARIANT WARNING =====
8117	C1 INVARIANT WARNING	WARNING	===== C1 INVARIANT WARNING =====
8156	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
8169	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	ScriptFunctionName: _AI_GetUpAttack
8176	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
8190	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
8194	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
8196	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
8232	C1-O2 OUTER BINDING	EXTRA_01	ScriptFunction: _AI_GetUpAttack
8246	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopScriptName: _AI_GetUpAttack
8250	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
8252	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
8292	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8299	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8336	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8356	C1-O2-P1 DISPATCH RETURN	EXTRA_01	===== C1-O2-P1 DISPATCH RETURN =====
8384	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
8400	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8417	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
8437	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
8451	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
8455	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
8457	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
8497	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8501	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
