Event	Count
AIFULLSTOP CALLSITE	264
AISETSTATE CALLSITE	1112
C1 CLEANUP FULFILLED	264
C1 FINALIZATION	436
C1 LIFECYCLE START	494
C1 LIFECYCLE STATUS	481
C1 OFFENSE REQUEST	306
C1-O2 OUTER BINDING	536
C1-O2-P1 DISPATCH RETURN	13
C1-O2-P1 OFFENSE SCOPE	306
COMBATMOVE FULLSTOP STACK	157
COMBATMOVE STARTRECOVER BEGIN	307
COMBATMOVE STARTRECOVER END	307
EMPTY-PRIMARY SUCCESSOR STACK	1736
ENGINE SetCollisionGroup	844
HIT STARTRECOVER BEGIN STACK	159
HIT STOP STACK	1
MARKER OWNERSHIP DECISION	270
NATIVE CLEANUP CALL SITE	265
OUTER_FRAME AI_SET_STATE_AFTER	1112
OUTER_FRAME AI_SET_STATE_BEFORE	1112
OUTER_FRAME CLEANUP	265
OUTER_FRAME COMBAT_MOVE_INITIAL	984
OUTER_FRAME OFFENSE	306
PRIMARYFIRST PlayMotion	1736
PRIMARYFIRST StopMotion	1614
