StartLine	EndLine	Event	SelectedFields
62	104	AIFULLSTOP CALLSITE	ElapsedMs=18078.879 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=
105	131	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=18101.223 | Actor=PC_Hero
132	156	PRIMARYFIRST PlayMotion	ElapsedMs=18101.221
157	196	AISETSTATE CALLSITE	ElapsedMs=18101.622 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_00_%_02_P0_0.xmot
197	221	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=18101.709 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
222	246	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=18101.732 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
247	271	PRIMARYFIRST StopMotion	ElapsedMs=19462.229
272	296	PRIMARYFIRST StopMotion	ElapsedMs=19462.311
297	323	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=19462.337 | Actor=PC_Hero
324	348	PRIMARYFIRST PlayMotion	ElapsedMs=19462.335
349	375	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=19652.587 | Actor=PC_Hero
376	400	PRIMARYFIRST PlayMotion	ElapsedMs=19652.585
401	425	PRIMARYFIRST StopMotion	ElapsedMs=19851.858
426	450	PRIMARYFIRST StopMotion	ElapsedMs=19851.920
451	477	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=19851.994 | Actor=PC_Hero
478	502	PRIMARYFIRST PlayMotion	ElapsedMs=19851.992
503	527	PRIMARYFIRST StopMotion	ElapsedMs=20044.043
528	554	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=20044.097 | Actor=PC_Hero
555	579	PRIMARYFIRST PlayMotion	ElapsedMs=20044.096
580	606	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=20695.552 | Actor=PC_Hero
607	631	PRIMARYFIRST PlayMotion	ElapsedMs=20695.549
632	656	PRIMARYFIRST StopMotion	ElapsedMs=27015.927
657	683	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=27015.968 | Actor=PC_Hero
684	708	PRIMARYFIRST PlayMotion	ElapsedMs=27015.967
709	733	PRIMARYFIRST StopMotion	ElapsedMs=27346.141
734	760	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=27346.180 | Actor=PC_Hero
761	785	PRIMARYFIRST PlayMotion	ElapsedMs=27346.180
786	825	AISETSTATE CALLSITE	ElapsedMs=27715.247 | Actor=PC_Hero | CurrentAction=68 | CurrentAniPhase=6 | CurrentStateTime=0.775574 | CurrentMovementAni=Hero_Stand_None_2H_P0_HoldRight_End_N_Fwd_00_%_00_P0_0.xmot
826	850	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=27715.323 | Actor=PC_Hero | CurrentAction=68 | CurrentStateTime=0.775574
851	875	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=27715.348 | Actor=PC_Hero | CurrentAction=68 | CurrentStateTime=0.000000
876	915	AISETSTATE CALLSITE	ElapsedMs=28557.122 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=6 | CurrentStateTime=0.829253 | CurrentMovementAni=Hero_Stand_None_2H_P0_HoldRight_End_N_Fwd_00_%_00_P0_0.xmot
916	940	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=28557.192 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.829253
941	965	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=28557.214 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
966	982	C1 LIFECYCLE START	ElapsedMs=28566.251 | Actor=PC_Hero | Generation=1 | Status=CANDIDATE | PhysicalCollisionChanged=0
983	996	C1-O2 OUTER BINDING	ElapsedMs=28566.287 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=1 | Status=CANDIDATE | PhysicalCollisionChanged=0
997	1021	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=28566.298 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
1022	1046	PRIMARYFIRST StopMotion	ElapsedMs=28566.578
1047	1079	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=28566.633 | Actor=PC_Hero
1080	1104	PRIMARYFIRST PlayMotion	ElapsedMs=28566.632
1105	1115	C1 LIFECYCLE STATUS	ElapsedMs=28566.741 | Event=PERSISTED | Actor=PC_Hero | Generation=1 | Status=PERSISTED | PhysicalCollisionChanged=0
1116	1140	MARKER OWNERSHIP DECISION	ElapsedMs=28566.762 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1141	1157	C1 OFFENSE REQUEST	ElapsedMs=28822.170 | Actor=PC_Hero | Generation=1 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=7 | PhysicalCollisionChanged=0
1158	1184	ENGINE SetCollisionGroup	ElapsedMs=28822.201 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=1 | PlayerAniPhase=1 | PlayerStateTime=0.256998 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1185	1204	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=28822.225 | SourceAddress=E70E8610
1205	1234	OUTER_FRAME OFFENSE	ElapsedMs=28822.239 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=1 | CurrentStateTime=0.256998
1235	1257	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=29312.903 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1258	1281	HIT STARTRECOVER BEGIN STACK	ElapsedMs=29312.959 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentStateTime=0.746954 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1282	1306	PRIMARYFIRST StopMotion	ElapsedMs=29313.328
1307	1333	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=29313.358 | Actor=PC_Hero
1334	1358	PRIMARYFIRST PlayMotion	ElapsedMs=29313.357
1359	1381	COMBATMOVE STARTRECOVER END	ElapsedMs=29313.427 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1382	1398	C1 CLEANUP FULFILLED	ElapsedMs=29313.486 | Actor=PC_Hero | Generation=1 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=5 | PhysicalCollisionChanged=0
1399	1425	ENGINE SetCollisionGroup	ElapsedMs=29313.502 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.746954 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1426	1446	NATIVE CLEANUP CALL SITE	ElapsedMs=29313.521 | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
1447	1476	OUTER_FRAME CLEANUP	ElapsedMs=29313.544 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.746954
1477	1516	AISETSTATE CALLSITE	ElapsedMs=29313.572 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.746954 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
1517	1541	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=29313.612 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.746954
1542	1564	C1 FINALIZATION	ElapsedMs=29313.634 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=1 | Status=PERSISTED | PhysicalCollisionChanged=0
1565	1589	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=29313.654 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
1590	1629	AISETSTATE CALLSITE	ElapsedMs=30541.439 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=1.218093 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
1630	1654	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=30541.510 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.218093
1655	1679	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=30541.537 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
1680	1696	C1 LIFECYCLE START	ElapsedMs=30550.973 | Actor=PC_Hero | Generation=2 | Status=CANDIDATE | PhysicalCollisionChanged=0
