Line	Event	Signal	Text
21	<none>	WOULD_REPAIR	STEP C1 SHADOW LIFECYCLE GUARD: event-driven execution/source obligations; WOULD_REPAIR only; no physical repair.
1152	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
1866	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
2812	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
3899	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
4925	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
5763	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
6625	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
8141	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
9235	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
10726	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
10964	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
11539	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
11777	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
12487	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
12725	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
13645	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
13883	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
15330	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
15568	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
16071	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
17377	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
17615	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
18215	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
19362	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
20335	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
21788	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
22026	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
22490	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
23757	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
25273	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
25987	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
26985	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
28020	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
29191	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
30053	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
31147	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
32348	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
33456	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
33694	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
34614	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
34852	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
35772	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
36010	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
36930	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
37168	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
37864	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
39355	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
39593	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
40245	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
42255	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
42969	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
44028	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
44742	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
45949	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
47520	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
48937	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
50157	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
50967	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
51777	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
52587	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
53733	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
55143	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
56484	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
57174	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
57864	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
58554	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
59665	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
60614	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
60852	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
61772	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
63433	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
65094	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
65332	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
66304	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
66542	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
67246	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
68778	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
69519	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
70260	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
71001	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
71834	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
72667	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
73460	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
74615	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
75694	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
76411	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
77948	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
79577	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
80940	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
81178	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
82132	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
84702	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
85838	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
87289	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
87527	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
88283	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
89961	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
90199	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
91153	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
92469	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
92707	C1 FINALIZATION	WOULD_REPAIR	Source[0].Outcome: WOULD_REPAIR
94086	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
96947	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
97688	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
98609	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
99506	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
100223	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
101144	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
102041	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
102850	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
102944	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
104113	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
104998	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
105092	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
106261	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
107378	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
108254	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
109267	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
