Event	Count
AIFULLSTOP CALLSITE	121
AISETSTATE CALLSITE	703
C1 CLEANUP FULFILLED	236
C1 FINALIZATION	269
C1 LIFECYCLE START	326
C1 LIFECYCLE STATUS	314
C1 OFFENSE REQUEST	248
C1-O2 OUTER BINDING	355
C1-O2-P1 DISPATCH RETURN	12
C1-O2-P1 OFFENSE SCOPE	248
COMBATMOVE FULLSTOP STACK	73
COMBATMOVE STARTRECOVER BEGIN	222
COMBATMOVE STARTRECOVER END	222
EMPTY-PRIMARY SUCCESSOR STACK	1121
ENGINE SetCollisionGroup	653
G3AB_COL_BOTH RECEIVED	19
G3AB_COL_LEFT RECEIVED	27
G3AB_COL_OFF RECEIVED	19
G3AB_COL_RIGHT RECEIVED	87
HIT STARTRECOVER BEGIN STACK	126
MARKER OWNERSHIP DECISION	195
MARKER-OWNED PRIMARY MOTION LIFETIME	29
NATIVE CLEANUP CALL SITE	236
OUTER_FRAME AI_SET_STATE_AFTER	703
OUTER_FRAME AI_SET_STATE_BEFORE	703
OUTER_FRAME CLEANUP	236
OUTER_FRAME COMBAT_MOVE_INITIAL	645
OUTER_FRAME OFFENSE	248
PRIMARYFIRST PlayMotion	1121
PRIMARYFIRST StopMotion	1013
