StartLine	EndLine	Event	SelectedFields
66511	66551	AISETSTATE CALLSITE	ElapsedMs=203393.941 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=1 | CurrentStateTime=0.284985 | CurrentMovementAni=Hero_Stand_1H_1H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100_R.xmot
66552	66576	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=203393.983 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.284985
66577	66593	C1 CLEANUP FULFILLED	ElapsedMs=203394.058 | Actor=PC_Hero | Generation=74 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | ActualGroup=5 | PhysicalCollisionChanged=0
66594	66620	ENGINE SetCollisionGroup	ElapsedMs=203394.100 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=4 | PlayerAniPhase=1 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100_R.xmot
66621	66643	NATIVE CLEANUP CALL SITE	ElapsedMs=203394.144 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
66644	66673	OUTER_FRAME CLEANUP	ElapsedMs=203394.184 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=4 | CurrentStateTime=0.000000
66674	66718	C1 FINALIZATION	ElapsedMs=203394.205 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=74 | Status=PERSISTED | PhysicalCollisionChanged=1
66719	66743	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=203394.242 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
66744	66770	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=203520.776 | Actor=PC_Hero
66771	66795	PRIMARYFIRST PlayMotion	ElapsedMs=203520.774
66796	66835	AISETSTATE CALLSITE	ElapsedMs=204562.937 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.167954 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
66836	66860	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=204563.007 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.167954
66861	66885	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=204563.033 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
66886	66907	C1 LIFECYCLE START	ElapsedMs=204572.020 | Actor=PC_Hero | Generation=75 | Status=CANDIDATE | PhysicalCollisionChanged=0
66908	66921	C1-O2 OUTER BINDING	ElapsedMs=204572.058 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=75 | Status=CANDIDATE | PhysicalCollisionChanged=0
66922	66946	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=204572.069 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
66947	66971	PRIMARYFIRST StopMotion	ElapsedMs=204572.106
66972	67005	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=204572.130 | Actor=PC_Hero
67006	67030	PRIMARYFIRST PlayMotion	ElapsedMs=204572.129
67031	67041	C1 LIFECYCLE STATUS	ElapsedMs=204572.228 | Event=PERSISTED | Actor=PC_Hero | Generation=75 | Status=PERSISTED | PhysicalCollisionChanged=0
67042	67070	MARKER OWNERSHIP DECISION	ElapsedMs=204572.244 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P0_Attack_Hit_N_Fwd_00_%_00_P1_118_R.xmot
67071	67089	G3AB_COL_LEFT RECEIVED	ElapsedMs=204834.308 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P0_Attack_Hit_N_Fwd_00_%_00_P1_118_R.xmot
