Line	Event	Signal	Text
21	<none>	WOULD_REPAIR	STEP C1 SHADOW LIFECYCLE GUARD: event-driven execution/source obligations; WOULD_REPAIR only; no physical repair.
1632	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
1677	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
1760	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
2584	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
2629	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
2712	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
3685	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
3730	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
3813	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
4860	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
4905	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
4988	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
6248	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
7114	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
8190	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
8235	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
8318	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
8493	OUTER_FRAME CLEANUP	EXTRA_08	MarkerAction: OFF_ACCEPTED
8534	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
8617	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
9715	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
11088	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
11171	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
11314	OUTER_FRAME CLEANUP	EXTRA_08	MarkerAction: OFF_ACCEPTED
11355	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
11438	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
11773	C1 FINALIZATION	EXTRA_01	Source[0].Outcome: REPAIRED_TO_ITEM_EQUIPPED
11787	C1 FINALIZATION	EXTRA_05	Source[0].RepairAttempted: 1
11790	C1 FINALIZATION	EXTRA_06	Source[0].PhysicalCollisionChanged: 1
11791	C1 FINALIZATION	EXTRA_06	PhysicalCollisionChanged: 1
12304	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
12349	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
12432	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
13204	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
13249	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
13332	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
14472	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
14517	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
14600	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
15322	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
15367	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
15450	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
16403	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
16448	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
16531	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
17546	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
17591	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
17674	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
18466	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
19280	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
