Event	Count
AIFULLSTOP CALLSITE	62
AISETSTATE CALLSITE	387
C1 CLEANUP FULFILLED	108
C1 FINALIZATION	127
C1 LIFECYCLE START	190
C1 LIFECYCLE STATUS	176
C1 OFFENSE REQUEST	122
C1-O2 OUTER BINDING	143
C1-O2-P1 DISPATCH RETURN	14
C1-O2-P1 OFFENSE SCOPE	122
COMBATMOVE FULLSTOP STACK	32
COMBATMOVE STARTRECOVER BEGIN	90
COMBATMOVE STARTRECOVER END	90
CONTROLLED CALLBACK EXECUTION BOUNDARY	2
EMPTY-PRIMARY SUCCESSOR STACK	621
ENGINE SetCollisionGroup	284
G3AB_COL_BOTH RECEIVED	6
G3AB_COL_LEFT RECEIVED	4
G3AB_COL_OFF RECEIVED	16
G3AB_COL_RIGHT RECEIVED	81
HIT STARTRECOVER BEGIN STACK	73
HIT STOP STACK	1
MARKER OWNERSHIP DECISION	76
MARKER-OWNED PRIMARY MOTION LIFETIME	7
NATIVE CLEANUP CALL SITE	108
OUTER_FRAME AI_SET_STATE_AFTER	387
OUTER_FRAME AI_SET_STATE_BEFORE	387
OUTER_FRAME CLEANUP	108
OUTER_FRAME COMBAT_MOVE_INITIAL	317
OUTER_FRAME OFFENSE	122
PRIMARYFIRST PlayMotion	621
PRIMARYFIRST StopMotion	524
