StartLine	EndLine	Event	SelectedFields
22473	22497	PRIMARYFIRST StopMotion	ElapsedMs=108590.918
22498	22524	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=108590.948 | Actor=PC_Hero
22525	22549	PRIMARYFIRST PlayMotion	ElapsedMs=108590.947
22550	22572	COMBATMOVE STARTRECOVER END	ElapsedMs=108591.017 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
22573	22589	C1 CLEANUP FULFILLED	ElapsedMs=108591.084 | Actor=PC_Hero | Generation=24 | Status=PERSISTED | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | ActualGroup=5 | PhysicalCollisionChanged=0
22590	22616	ENGINE SetCollisionGroup	ElapsedMs=108591.099 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=10 | PlayerAniPhase=3 | PlayerStateTime=0.801549 | PlayerCurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
22617	22637	NATIVE CLEANUP CALL SITE	ElapsedMs=108591.118 | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
22638	22667	OUTER_FRAME CLEANUP	ElapsedMs=108591.141 | Actor=PC_Hero | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=10 | CurrentStateTime=0.801549
22668	22707	AISETSTATE CALLSITE	ElapsedMs=108591.167 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=3 | CurrentStateTime=0.801549 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
22708	22732	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=108591.207 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.801549
22733	22759	C1 FINALIZATION	ElapsedMs=108591.230 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=24 | Status=PERSISTED | PhysicalCollisionChanged=0
22760	22784	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=108591.253 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
22785	22811	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=109406.958 | Actor=PC_Hero
22812	22836	PRIMARYFIRST PlayMotion	ElapsedMs=109406.956
22837	22876	AISETSTATE CALLSITE	ElapsedMs=110225.118 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.626430 | CurrentMovementAni=Hero_Stand_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
22877	22901	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=110225.187 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.626430
22902	22926	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=110225.210 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
22927	22966	AISETSTATE CALLSITE	ElapsedMs=110235.720 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
22967	22991	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=110235.788 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
22992	23016	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=110235.814 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
23017	23043	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=110244.992 | Actor=PC_Hero
23044	23068	PRIMARYFIRST PlayMotion	ElapsedMs=110244.990
23069	23108	AISETSTATE CALLSITE	ElapsedMs=110760.240 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.514288 | CurrentMovementAni=Hero_Parade_None_Staff_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
23109	23133	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=110760.315 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.514288
23134	23158	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=110760.341 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
23159	23175	C1 LIFECYCLE START	ElapsedMs=110771.108 | Actor=PC_Hero | Generation=25 | Status=CANDIDATE | PhysicalCollisionChanged=0
23176	23189	C1-O2 OUTER BINDING	ElapsedMs=110771.142 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=25 | Status=CANDIDATE | PhysicalCollisionChanged=0
23190	23214	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=110771.154 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
23215	23239	PRIMARYFIRST StopMotion	ElapsedMs=110771.193
23240	23272	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=110771.224 | Actor=PC_Hero
23273	23297	PRIMARYFIRST PlayMotion	ElapsedMs=110771.222
23298	23308	C1 LIFECYCLE STATUS	ElapsedMs=110771.319 | Event=PERSISTED | Actor=PC_Hero | Generation=25 | Status=PERSISTED | PhysicalCollisionChanged=0
