Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
35	CORE MARKER ANOMALY / DISCOVERY
135	CORE MARKER ANOMALY / DISCOVERY
194	CORE ATTACK OWNERSHIP ANOMALY
216	CORE MARKER ANOMALY / DISCOVERY
318	CORE MARKER ANOMALY / DISCOVERY
384	CORE ATTACK OWNERSHIP ANOMALY
421	CORE MARKER ANOMALY / DISCOVERY
496	CORE ATTACK OWNERSHIP ANOMALY
602	CORE MARKER ANOMALY / DISCOVERY
696	CORE ATTACK OWNERSHIP ANOMALY
718	CORE MARKER ANOMALY / DISCOVERY
816	CORE MARKER ANOMALY / DISCOVERY
922	CORE ATTACK OWNERSHIP ANOMALY
959	CORE MARKER ANOMALY / DISCOVERY
1031	CORE ATTACK OWNERSHIP ANOMALY
1143	CORE MARKER ANOMALY / DISCOVERY
1212	CORE ATTACK OWNERSHIP ANOMALY
1234	CORE MARKER ANOMALY / DISCOVERY
1337	CORE MARKER ANOMALY / DISCOVERY
1423	CORE ATTACK OWNERSHIP ANOMALY
1478	CORE ATTACK OWNERSHIP ANOMALY
1500	CORE MARKER ANOMALY / DISCOVERY
1604	CORE MARKER ANOMALY / DISCOVERY
1710	CORE ATTACK OWNERSHIP ANOMALY
1732	CORE MARKER ANOMALY / DISCOVERY
1795	CORE ATTACK OWNERSHIP ANOMALY
1817	CORE MARKER ANOMALY / DISCOVERY
1920	CORE MARKER ANOMALY / DISCOVERY
1985	CORE ATTACK OWNERSHIP ANOMALY
2007	CORE MARKER ANOMALY / DISCOVERY
2111	CORE MARKER ANOMALY / DISCOVERY
2203	CORE ATTACK OWNERSHIP ANOMALY
2225	CORE MARKER ANOMALY / DISCOVERY
2306	CORE ATTACK OWNERSHIP ANOMALY
2343	CORE MARKER ANOMALY / DISCOVERY
2432	CORE ATTACK OWNERSHIP ANOMALY
2540	CORE MARKER ANOMALY / DISCOVERY
2676	CORE ATTACK OWNERSHIP ANOMALY
2698	CORE MARKER ANOMALY / DISCOVERY
2806	CORE MARKER ANOMALY / DISCOVERY
2871	CORE ATTACK OWNERSHIP ANOMALY
3039	CORE ATTACK OWNERSHIP ANOMALY
3076	CORE MARKER ANOMALY / DISCOVERY
3150	CORE ATTACK OWNERSHIP ANOMALY
3263	CORE MARKER ANOMALY / DISCOVERY
3324	CORE ATTACK OWNERSHIP ANOMALY
3346	CORE MARKER ANOMALY / DISCOVERY
3450	CORE MARKER ANOMALY / DISCOVERY
3559	CORE ATTACK OWNERSHIP ANOMALY
3596	CORE MARKER ANOMALY / DISCOVERY
3684	CORE ATTACK OWNERSHIP ANOMALY
3792	CORE MARKER ANOMALY / DISCOVERY
