File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59621
full_source_part_002.txt	287	537	59857
full_source_part_003.txt	538	769	59714
full_source_part_004.txt	770	1017	59804
full_source_part_005.txt	1018	1272	59961
full_source_part_006.txt	1273	1536	59917
full_source_part_007.txt	1537	1811	59681
full_source_part_008.txt	1812	2073	59848
full_source_part_009.txt	2074	2367	59992
full_source_part_010.txt	2368	2580	59667
full_source_part_011.txt	2581	2833	59633
full_source_part_012.txt	2834	3032	59917
full_source_part_013.txt	3033	3253	59937
full_source_part_014.txt	3254	3528	59937
full_source_part_015.txt	3529	3767	59988
full_source_part_016.txt	3768	3882	32213
