StartLine	EndLine	Event	SelectedFields
16	34	CORE ATTACK OWNERSHIP ANOMALY	
35	133	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=21334.895 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100.xmot
134	193	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=21847.287 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100.xmot
194	214	CORE ATTACK OWNERSHIP ANOMALY	
215	316	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=23398.873 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
317	380	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=23909.289 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
381	480	CORE ATTACK OWNERSHIP ANOMALY	
481	568	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=26112.213 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_Attack_Hit_N_Fwd_00_%_00_P0_100.xmot
569	590	CORE ATTACK OWNERSHIP ANOMALY	
591	693	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=27753.027 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
694	758	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=28269.392 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
759	780	CORE ATTACK OWNERSHIP ANOMALY	
781	881	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=29805.515 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100.xmot
882	946	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=30308.709 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_100.xmot
947	968	CORE ATTACK OWNERSHIP ANOMALY	
969	1071	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=31853.066 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
1072	1136	CORE MARKER ANOMALY / DISCOVERY	ElapsedMs=32370.216 | Actor=Troll | CurrentMovementAni=Troll_Stand_Fist_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100.xmot
1137	1158	CORE ATTACK OWNERSHIP ANOMALY	
