File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59621
full_source_part_002.txt	287	516	59798
full_source_part_003.txt	517	748	59711
full_source_part_004.txt	749	1028	59683
full_source_part_005.txt	1029	1285	59680
full_source_part_006.txt	1286	1566	59817
full_source_part_007.txt	1567	1853	59665
full_source_part_008.txt	1854	2087	59868
full_source_part_009.txt	2088	2316	59828
full_source_part_010.txt	2317	2579	59633
full_source_part_011.txt	2580	2821	59822
full_source_part_012.txt	2822	3058	59966
full_source_part_013.txt	3059	3308	59992
full_source_part_014.txt	3309	3564	59839
full_source_part_015.txt	3565	3786	59612
full_source_part_016.txt	3787	4009	59685
full_source_part_017.txt	4010	4205	59736
full_source_part_018.txt	4206	4385	59874
full_source_part_019.txt	4386	4573	59887
full_source_part_020.txt	4574	4773	59976
full_source_part_021.txt	4774	5020	59961
full_source_part_022.txt	5021	5252	59776
full_source_part_023.txt	5253	5449	59831
full_source_part_024.txt	5450	5691	59835
full_source_part_025.txt	5692	5914	59971
full_source_part_026.txt	5915	6106	59995
full_source_part_027.txt	6107	6343	59922
full_source_part_028.txt	6344	6612	59807
full_source_part_029.txt	6613	6863	59759
full_source_part_030.txt	6864	6882	5714
