Line	Event	Signal	Text
78	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=21428.245 Ordinal=1 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_02_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
115	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=21717.456 Actor=PC_Hero Generation=2 Status=PERSISTED SourceCount=0 PhysicalChanged=0
188	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=22039.850 Actor=Troll Generation=1 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
189	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=22135.915 Actor=Troll Generation=1 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
266	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=23540.705 Ordinal=2 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_02_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
306	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=23836.466 Actor=PC_Hero Generation=4 Status=PERSISTED SourceCount=0 PhysicalChanged=0
361	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=24024.255 Ordinal=3 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=3 PlayerMotion=Hero_Stand_None_None_P0_StumbleR_Recover_N_Back_00_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
374	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=24101.304 Actor=Troll Generation=3 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
375	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=24189.514 Actor=Troll Generation=3 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
376	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=24316.714 Actor=PC_Hero Generation=5 Status=PERSISTED SourceCount=0 PhysicalChanged=0
511	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE RAW55_NORMAL_FIST_ACTIVATION_PROBE Actor=Troll C1=6 Action=1 StatePosition=1 StateTime=0.763051 Right=TrollFist RightUseType=55 GroupBefore=5 RequestedGroup=7 GroupAfter=7 EarlySuppressionProof=1 ClearTriggeredList=0 ACTIVATE_FIST=1
563	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=26525.149 Actor=Troll Generation=6 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=1 Outstanding=0 CleanupObserved=1 Group=5
564	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=26525.171 Actor=Troll Generation=6 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
645	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=27923.134 Ordinal=4 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=12 PlayerMotion=Hero_Stand_None_None_P0_Move_Stand_N_Fwd_00_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
686	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=28215.695 Actor=PC_Hero Generation=8 Status=PERSISTED SourceCount=0 PhysicalChanged=0
738	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=28381.188 Ordinal=5 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_02_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
752	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=28459.728 Actor=Troll Generation=7 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
753	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=28551.487 Actor=Troll Generation=7 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
754	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=28671.202 Actor=PC_Hero Generation=9 Status=PERSISTED SourceCount=0 PhysicalChanged=0
833	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=29958.844 Ordinal=6 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_00_%_02_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
873	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=30247.222 Actor=PC_Hero Generation=11 Status=PERSISTED SourceCount=0 PhysicalChanged=0
925	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE ONDAMAGE ElapsedMs=30414.074 Ordinal=7 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=3 PlayerMotion=Hero_Stand_None_None_P0_StumbleR_Recover_N_Back_00_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
940	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1 CLEANUP FULFILLED ElapsedMs=30502.173 Actor=Troll Generation=10 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
941	CORE MARKER ANOMALY / DISCOVERY	EXTRA_01	CORE C1_FINAL ElapsedMs=30592.941 Actor=Troll Generation=10 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
