Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
37	CORE MARKER ANOMALY / DISCOVERY
132	CORE MARKER ANOMALY / DISCOVERY
190	CORE ATTACK OWNERSHIP ANOMALY
211	CORE MARKER ANOMALY / DISCOVERY
314	CORE MARKER ANOMALY / DISCOVERY
379	CORE ATTACK OWNERSHIP ANOMALY
402	CORE MARKER ANOMALY / DISCOVERY
502	CORE MARKER ANOMALY / DISCOVERY
561	CORE ATTACK OWNERSHIP ANOMALY
583	CORE MARKER ANOMALY / DISCOVERY
684	CORE MARKER ANOMALY / DISCOVERY
749	CORE ATTACK OWNERSHIP ANOMALY
771	CORE MARKER ANOMALY / DISCOVERY
872	CORE MARKER ANOMALY / DISCOVERY
935	CORE ATTACK OWNERSHIP ANOMALY
957	CORE MARKER ANOMALY / DISCOVERY
1055	CORE MARKER ANOMALY / DISCOVERY
1120	CORE ATTACK OWNERSHIP ANOMALY
1143	CORE MARKER ANOMALY / DISCOVERY
1244	CORE MARKER ANOMALY / DISCOVERY
1303	CORE ATTACK OWNERSHIP ANOMALY
1324	CORE MARKER ANOMALY / DISCOVERY
1419	CORE MARKER ANOMALY / DISCOVERY
1485	CORE ATTACK OWNERSHIP ANOMALY
1507	CORE MARKER ANOMALY / DISCOVERY
1610	CORE MARKER ANOMALY / DISCOVERY
1677	CORE ATTACK OWNERSHIP ANOMALY
1698	CORE MARKER ANOMALY / DISCOVERY
1802	CORE MARKER ANOMALY / DISCOVERY
1891	CORE ATTACK OWNERSHIP ANOMALY
1914	CORE MARKER ANOMALY / DISCOVERY
2012	CORE MARKER ANOMALY / DISCOVERY
2103	CORE ATTACK OWNERSHIP ANOMALY
2125	CORE MARKER ANOMALY / DISCOVERY
2201	CORE ATTACK OWNERSHIP ANOMALY
2223	CORE MARKER ANOMALY / DISCOVERY
2301	CORE ATTACK OWNERSHIP ANOMALY
2324	CORE MARKER ANOMALY / DISCOVERY
2423	CORE MARKER ANOMALY / DISCOVERY
2502	CORE ATTACK OWNERSHIP ANOMALY
2524	CORE MARKER ANOMALY / DISCOVERY
2641	CORE MARKER ANOMALY / DISCOVERY
2717	CORE MARKER ANOMALY / DISCOVERY
2812	CORE MARKER ANOMALY / DISCOVERY
2883	CORE MARKER ANOMALY / DISCOVERY
2967	CORE ATTACK OWNERSHIP ANOMALY
2989	CORE MARKER ANOMALY / DISCOVERY
3090	CORE MARKER ANOMALY / DISCOVERY
3155	CORE ATTACK OWNERSHIP ANOMALY
3177	CORE MARKER ANOMALY / DISCOVERY
3279	CORE MARKER ANOMALY / DISCOVERY
3376	CORE ATTACK OWNERSHIP ANOMALY
3399	CORE MARKER ANOMALY / DISCOVERY
3498	CORE MARKER ANOMALY / DISCOVERY
3575	CORE ATTACK OWNERSHIP ANOMALY
3597	CORE MARKER ANOMALY / DISCOVERY
3716	CORE ATTACK OWNERSHIP ANOMALY
3739	CORE MARKER ANOMALY / DISCOVERY
3838	CORE MARKER ANOMALY / DISCOVERY
3909	CORE ATTACK OWNERSHIP ANOMALY
3931	CORE MARKER ANOMALY / DISCOVERY
4025	CORE MARKER ANOMALY / DISCOVERY
4095	CORE MARKER ANOMALY / DISCOVERY
4191	CORE MARKER ANOMALY / DISCOVERY
4261	CORE MARKER ANOMALY / DISCOVERY
4356	CORE MARKER ANOMALY / DISCOVERY
4426	CORE MARKER ANOMALY / DISCOVERY
4521	CORE MARKER ANOMALY / DISCOVERY
4591	CORE MARKER ANOMALY / DISCOVERY
4686	CORE MARKER ANOMALY / DISCOVERY
4784	CORE ATTACK OWNERSHIP ANOMALY
4807	CORE MARKER ANOMALY / DISCOVERY
4905	CORE MARKER ANOMALY / DISCOVERY
4984	CORE ATTACK OWNERSHIP ANOMALY
5006	CORE MARKER ANOMALY / DISCOVERY
5101	CORE MARKER ANOMALY / DISCOVERY
5171	CORE MARKER ANOMALY / DISCOVERY
5265	CORE MARKER ANOMALY / DISCOVERY
5331	CORE MARKER ANOMALY / DISCOVERY
5426	CORE MARKER ANOMALY / DISCOVERY
5491	CORE MARKER ANOMALY / DISCOVERY
5586	CORE MARKER ANOMALY / DISCOVERY
5652	CORE ATTACK OWNERSHIP ANOMALY
5674	CORE MARKER ANOMALY / DISCOVERY
5776	CORE MARKER ANOMALY / DISCOVERY
5841	CORE ATTACK OWNERSHIP ANOMALY
5863	CORE MARKER ANOMALY / DISCOVERY
5965	CORE MARKER ANOMALY / DISCOVERY
