File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59625
full_source_part_002.txt	287	542	59745
full_source_part_003.txt	543	822	59939
full_source_part_004.txt	823	1062	59982
full_source_part_005.txt	1063	1353	59851
full_source_part_006.txt	1354	1587	59772
full_source_part_007.txt	1588	1850	59809
full_source_part_008.txt	1851	2122	59905
full_source_part_009.txt	2123	2411	59620
full_source_part_010.txt	2412	2680	59719
full_source_part_011.txt	2681	2927	59716
full_source_part_012.txt	2928	3208	59694
full_source_part_013.txt	3209	3457	59882
full_source_part_014.txt	3458	3696	59863
full_source_part_015.txt	3697	3976	59796
full_source_part_016.txt	3977	4189	59809
full_source_part_017.txt	4190	4459	59993
full_source_part_018.txt	4460	4672	59876
full_source_part_019.txt	4673	4942	59802
full_source_part_020.txt	4943	5206	59620
full_source_part_021.txt	5207	5416	59746
full_source_part_022.txt	5417	5683	59967
full_source_part_023.txt	5684	5935	59643
full_source_part_024.txt	5936	6026	23522
