Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
37	CORE MARKER ANOMALY / DISCOVERY
138	CORE MARKER ANOMALY / DISCOVERY
196	CORE ATTACK OWNERSHIP ANOMALY
218	CORE MARKER ANOMALY / DISCOVERY
320	CORE MARKER ANOMALY / DISCOVERY
384	CORE MARKER ANOMALY / DISCOVERY
413	CORE MARKER ANOMALY / DISCOVERY
444	CORE ATTACK OWNERSHIP ANOMALY
466	CORE MARKER ANOMALY / DISCOVERY
563	CORE MARKER ANOMALY / DISCOVERY
625	CORE ATTACK OWNERSHIP ANOMALY
646	CORE MARKER ANOMALY / DISCOVERY
748	CORE MARKER ANOMALY / DISCOVERY
813	CORE ATTACK OWNERSHIP ANOMALY
835	CORE MARKER ANOMALY / DISCOVERY
931	CORE MARKER ANOMALY / DISCOVERY
995	CORE ATTACK OWNERSHIP ANOMALY
1017	CORE MARKER ANOMALY / DISCOVERY
1113	CORE MARKER ANOMALY / DISCOVERY
1178	CORE ATTACK OWNERSHIP ANOMALY
1200	CORE MARKER ANOMALY / DISCOVERY
1301	CORE MARKER ANOMALY / DISCOVERY
1366	CORE ATTACK OWNERSHIP ANOMALY
1388	CORE MARKER ANOMALY / DISCOVERY
1486	CORE MARKER ANOMALY / DISCOVERY
1555	CORE MARKER ANOMALY / DISCOVERY
1653	CORE MARKER ANOMALY / DISCOVERY
1721	CORE MARKER ANOMALY / DISCOVERY
1819	CORE MARKER ANOMALY / DISCOVERY
1883	CORE ATTACK OWNERSHIP ANOMALY
1905	CORE MARKER ANOMALY / DISCOVERY
2009	CORE MARKER ANOMALY / DISCOVERY
2073	CORE MARKER ANOMALY / DISCOVERY
2102	CORE MARKER ANOMALY / DISCOVERY
2133	CORE ATTACK OWNERSHIP ANOMALY
2156	CORE MARKER ANOMALY / DISCOVERY
2251	CORE MARKER ANOMALY / DISCOVERY
