Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
38	CORE MARKER ANOMALY / DISCOVERY
133	CORE MARKER ANOMALY / DISCOVERY
193	CORE ATTACK OWNERSHIP ANOMALY
215	CORE MARKER ANOMALY / DISCOVERY
318	CORE MARKER ANOMALY / DISCOVERY
382	CORE MARKER ANOMALY / DISCOVERY
411	CORE MARKER ANOMALY / DISCOVERY
442	CORE ATTACK OWNERSHIP ANOMALY
465	CORE MARKER ANOMALY / DISCOVERY
562	CORE MARKER ANOMALY / DISCOVERY
625	CORE ATTACK OWNERSHIP ANOMALY
647	CORE MARKER ANOMALY / DISCOVERY
749	CORE MARKER ANOMALY / DISCOVERY
814	CORE ATTACK OWNERSHIP ANOMALY
836	CORE MARKER ANOMALY / DISCOVERY
939	CORE MARKER ANOMALY / DISCOVERY
1004	CORE ATTACK OWNERSHIP ANOMALY
1026	CORE MARKER ANOMALY / DISCOVERY
1129	CORE MARKER ANOMALY / DISCOVERY
1187	CORE ATTACK OWNERSHIP ANOMALY
1209	CORE MARKER ANOMALY / DISCOVERY
1311	CORE MARKER ANOMALY / DISCOVERY
1375	CORE ATTACK OWNERSHIP ANOMALY
1397	CORE MARKER ANOMALY / DISCOVERY
1499	CORE MARKER ANOMALY / DISCOVERY
1564	CORE ATTACK OWNERSHIP ANOMALY
1586	CORE MARKER ANOMALY / DISCOVERY
1684	CORE MARKER ANOMALY / DISCOVERY
1749	CORE ATTACK OWNERSHIP ANOMALY
1771	CORE MARKER ANOMALY / DISCOVERY
1874	CORE MARKER ANOMALY / DISCOVERY
1939	CORE ATTACK OWNERSHIP ANOMALY
1961	CORE MARKER ANOMALY / DISCOVERY
2058	CORE MARKER ANOMALY / DISCOVERY
2124	CORE ATTACK OWNERSHIP ANOMALY
2146	CORE MARKER ANOMALY / DISCOVERY
2249	CORE MARKER ANOMALY / DISCOVERY
2316	CORE MARKER ANOMALY / DISCOVERY
2414	CORE MARKER ANOMALY / DISCOVERY
2478	CORE ATTACK OWNERSHIP ANOMALY
2500	CORE MARKER ANOMALY / DISCOVERY
2603	CORE MARKER ANOMALY / DISCOVERY
2668	CORE ATTACK OWNERSHIP ANOMALY
2690	CORE MARKER ANOMALY / DISCOVERY
2793	CORE MARKER ANOMALY / DISCOVERY
2858	CORE ATTACK OWNERSHIP ANOMALY
2880	CORE MARKER ANOMALY / DISCOVERY
2983	CORE MARKER ANOMALY / DISCOVERY
3048	CORE ATTACK OWNERSHIP ANOMALY
3070	CORE MARKER ANOMALY / DISCOVERY
3168	CORE MARKER ANOMALY / DISCOVERY
3234	CORE ATTACK OWNERSHIP ANOMALY
3256	CORE MARKER ANOMALY / DISCOVERY
3354	CORE MARKER ANOMALY / DISCOVERY
3419	CORE ATTACK OWNERSHIP ANOMALY
3441	CORE MARKER ANOMALY / DISCOVERY
3539	CORE MARKER ANOMALY / DISCOVERY
3604	CORE ATTACK OWNERSHIP ANOMALY
3626	CORE MARKER ANOMALY / DISCOVERY
3723	CORE MARKER ANOMALY / DISCOVERY
