File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59664
full_source_part_002.txt	287	589	59735
full_source_part_003.txt	590	869	59769
full_source_part_004.txt	870	1105	59896
full_source_part_005.txt	1106	1362	59734
full_source_part_006.txt	1363	1641	59641
full_source_part_007.txt	1642	1884	59982
full_source_part_008.txt	1885	2177	59717
full_source_part_009.txt	2178	2394	59624
full_source_part_010.txt	2395	2653	59692
full_source_part_011.txt	2654	2935	59765
full_source_part_012.txt	2936	3166	59996
full_source_part_013.txt	3167	3468	59952
full_source_part_014.txt	3469	3700	59645
full_source_part_015.txt	3701	3959	59697
full_source_part_016.txt	3960	4239	59805
full_source_part_017.txt	4240	4472	59956
full_source_part_018.txt	4473	4775	59958
full_source_part_019.txt	4776	4995	59756
full_source_part_020.txt	4996	5252	59736
full_source_part_021.txt	5253	5532	59805
full_source_part_022.txt	5533	5767	59644
full_source_part_023.txt	5768	6070	59742
full_source_part_024.txt	6071	6303	59979
full_source_part_025.txt	6304	6562	59967
full_source_part_026.txt	6563	6841	59796
full_source_part_027.txt	6842	7076	59908
full_source_part_028.txt	7077	7356	59933
full_source_part_029.txt	7357	7615	59624
full_source_part_030.txt	7616	7708	24048
