Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
37	CORE MARKER ANOMALY / DISCOVERY
139	CORE MARKER ANOMALY / DISCOVERY
203	CORE ATTACK OWNERSHIP ANOMALY
225	CORE MARKER ANOMALY / DISCOVERY
326	CORE MARKER ANOMALY / DISCOVERY
390	CORE MARKER ANOMALY / DISCOVERY
419	CORE MARKER ANOMALY / DISCOVERY
450	CORE ATTACK OWNERSHIP ANOMALY
473	CORE MARKER ANOMALY / DISCOVERY
568	CORE MARKER ANOMALY / DISCOVERY
632	CORE ATTACK OWNERSHIP ANOMALY
654	CORE MARKER ANOMALY / DISCOVERY
752	CORE MARKER ANOMALY / DISCOVERY
816	CORE ATTACK OWNERSHIP ANOMALY
836	CORE MARKER ANOMALY / DISCOVERY
937	CORE MARKER ANOMALY / DISCOVERY
1002	CORE ATTACK OWNERSHIP ANOMALY
1021	CORE MARKER ANOMALY / DISCOVERY
1119	CORE MARKER ANOMALY / DISCOVERY
1183	CORE ATTACK OWNERSHIP ANOMALY
1205	CORE MARKER ANOMALY / DISCOVERY
1306	CORE MARKER ANOMALY / DISCOVERY
1372	CORE ATTACK OWNERSHIP ANOMALY
1394	CORE MARKER ANOMALY / DISCOVERY
1496	CORE MARKER ANOMALY / DISCOVERY
1562	CORE ATTACK OWNERSHIP ANOMALY
1584	CORE MARKER ANOMALY / DISCOVERY
1686	CORE MARKER ANOMALY / DISCOVERY
1751	CORE ATTACK OWNERSHIP ANOMALY
1773	CORE MARKER ANOMALY / DISCOVERY
1875	CORE MARKER ANOMALY / DISCOVERY
1938	CORE ATTACK OWNERSHIP ANOMALY
1960	CORE MARKER ANOMALY / DISCOVERY
2062	CORE MARKER ANOMALY / DISCOVERY
2127	CORE ATTACK OWNERSHIP ANOMALY
2149	CORE MARKER ANOMALY / DISCOVERY
2251	CORE MARKER ANOMALY / DISCOVERY
2314	CORE ATTACK OWNERSHIP ANOMALY
2336	CORE MARKER ANOMALY / DISCOVERY
2439	CORE MARKER ANOMALY / DISCOVERY
2504	CORE ATTACK OWNERSHIP ANOMALY
2526	CORE MARKER ANOMALY / DISCOVERY
2628	CORE MARKER ANOMALY / DISCOVERY
2693	CORE ATTACK OWNERSHIP ANOMALY
2715	CORE MARKER ANOMALY / DISCOVERY
2818	CORE MARKER ANOMALY / DISCOVERY
2883	CORE ATTACK OWNERSHIP ANOMALY
2905	CORE MARKER ANOMALY / DISCOVERY
3007	CORE MARKER ANOMALY / DISCOVERY
3072	CORE ATTACK OWNERSHIP ANOMALY
3094	CORE MARKER ANOMALY / DISCOVERY
3197	CORE MARKER ANOMALY / DISCOVERY
3263	CORE ATTACK OWNERSHIP ANOMALY
3285	CORE MARKER ANOMALY / DISCOVERY
3388	CORE MARKER ANOMALY / DISCOVERY
3453	CORE ATTACK OWNERSHIP ANOMALY
3475	CORE MARKER ANOMALY / DISCOVERY
3576	CORE MARKER ANOMALY / DISCOVERY
3636	CORE ATTACK OWNERSHIP ANOMALY
3658	CORE MARKER ANOMALY / DISCOVERY
3761	CORE MARKER ANOMALY / DISCOVERY
3826	CORE ATTACK OWNERSHIP ANOMALY
3848	CORE MARKER ANOMALY / DISCOVERY
3947	CORE MARKER ANOMALY / DISCOVERY
4010	CORE ATTACK OWNERSHIP ANOMALY
4032	CORE MARKER ANOMALY / DISCOVERY
4136	CORE MARKER ANOMALY / DISCOVERY
4199	CORE ATTACK OWNERSHIP ANOMALY
4221	CORE MARKER ANOMALY / DISCOVERY
4319	CORE MARKER ANOMALY / DISCOVERY
4384	CORE ATTACK OWNERSHIP ANOMALY
4406	CORE MARKER ANOMALY / DISCOVERY
4508	CORE MARKER ANOMALY / DISCOVERY
4573	CORE ATTACK OWNERSHIP ANOMALY
4595	CORE MARKER ANOMALY / DISCOVERY
4697	CORE MARKER ANOMALY / DISCOVERY
4757	CORE ATTACK OWNERSHIP ANOMALY
4779	CORE MARKER ANOMALY / DISCOVERY
4882	CORE MARKER ANOMALY / DISCOVERY
4966	CORE ATTACK OWNERSHIP ANOMALY
4988	CORE MARKER ANOMALY / DISCOVERY
5087	CORE MARKER ANOMALY / DISCOVERY
5150	CORE ATTACK OWNERSHIP ANOMALY
5172	CORE MARKER ANOMALY / DISCOVERY
5275	CORE MARKER ANOMALY / DISCOVERY
5340	CORE ATTACK OWNERSHIP ANOMALY
5362	CORE MARKER ANOMALY / DISCOVERY
5460	CORE MARKER ANOMALY / DISCOVERY
5535	CORE ATTACK OWNERSHIP ANOMALY
5557	CORE MARKER ANOMALY / DISCOVERY
5663	CORE MARKER ANOMALY / DISCOVERY
5743	CORE ATTACK OWNERSHIP ANOMALY
5765	CORE MARKER ANOMALY / DISCOVERY
5870	CORE MARKER ANOMALY / DISCOVERY
5950	CORE ATTACK OWNERSHIP ANOMALY
5973	CORE MARKER ANOMALY / DISCOVERY
6075	CORE ATTACK OWNERSHIP ANOMALY
6097	CORE MARKER ANOMALY / DISCOVERY
6202	CORE MARKER ANOMALY / DISCOVERY
6269	CORE MARKER ANOMALY / DISCOVERY
6306	CORE MARKER ANOMALY / DISCOVERY
6342	CORE ATTACK OWNERSHIP ANOMALY
6365	CORE MARKER ANOMALY / DISCOVERY
6466	CORE MARKER ANOMALY / DISCOVERY
6533	CORE ATTACK OWNERSHIP ANOMALY
6555	CORE MARKER ANOMALY / DISCOVERY
6614	CORE ATTACK OWNERSHIP ANOMALY
6636	CORE MARKER ANOMALY / DISCOVERY
6739	CORE MARKER ANOMALY / DISCOVERY
6824	CORE MARKER ANOMALY / DISCOVERY
6863	CORE MARKER ANOMALY / DISCOVERY
6897	CORE ATTACK OWNERSHIP ANOMALY
6920	CORE MARKER ANOMALY / DISCOVERY
7024	CORE MARKER ANOMALY / DISCOVERY
7092	CORE ATTACK OWNERSHIP ANOMALY
7114	CORE MARKER ANOMALY / DISCOVERY
7169	CORE ATTACK OWNERSHIP ANOMALY
7191	CORE MARKER ANOMALY / DISCOVERY
7293	CORE MARKER ANOMALY / DISCOVERY
7372	CORE ATTACK OWNERSHIP ANOMALY
7394	CORE MARKER ANOMALY / DISCOVERY
7495	CORE MARKER ANOMALY / DISCOVERY
7575	CORE MARKER ANOMALY / DISCOVERY
7672	CORE MARKER ANOMALY / DISCOVERY
7755	CORE MARKER ANOMALY / DISCOVERY
7794	CORE MARKER ANOMALY / DISCOVERY
7825	CORE ATTACK OWNERSHIP ANOMALY
7848	CORE MARKER ANOMALY / DISCOVERY
7944	CORE MARKER ANOMALY / DISCOVERY
8011	CORE ATTACK OWNERSHIP ANOMALY
8033	CORE MARKER ANOMALY / DISCOVERY
8090	CORE ATTACK OWNERSHIP ANOMALY
8112	CORE MARKER ANOMALY / DISCOVERY
8214	CORE MARKER ANOMALY / DISCOVERY
