File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	289	59738
full_source_part_002.txt	290	574	59903
full_source_part_003.txt	575	870	59777
full_source_part_004.txt	871	1105	59824
full_source_part_005.txt	1106	1367	59806
full_source_part_006.txt	1368	1647	59821
full_source_part_007.txt	1648	1905	59708
full_source_part_008.txt	1906	2186	59855
full_source_part_009.txt	2187	2422	59881
full_source_part_010.txt	2423	2682	59679
full_source_part_011.txt	2683	2964	59805
full_source_part_012.txt	2965	3214	59980
full_source_part_013.txt	3215	3503	59957
full_source_part_014.txt	3504	3736	59941
full_source_part_015.txt	3737	3996	59931
full_source_part_016.txt	3997	4275	59847
full_source_part_017.txt	4276	4510	59987
full_source_part_018.txt	4511	4808	59845
full_source_part_019.txt	4809	5052	59803
full_source_part_020.txt	5053	5309	59888
full_source_part_021.txt	5310	5591	59640
full_source_part_022.txt	5592	5836	59718
full_source_part_023.txt	5837	6118	59970
full_source_part_024.txt	6119	6417	59974
full_source_part_025.txt	6418	6702	59985
full_source_part_026.txt	6703	7000	59832
full_source_part_027.txt	7001	7281	59965
full_source_part_028.txt	7282	7545	59740
full_source_part_029.txt	7546	7855	59989
full_source_part_030.txt	7856	8152	59645
full_source_part_031.txt	8153	8274	34953
