Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
38	CORE MARKER ANOMALY / DISCOVERY
140	CORE MARKER ANOMALY / DISCOVERY
200	CORE ATTACK OWNERSHIP ANOMALY
222	CORE MARKER ANOMALY / DISCOVERY
333	CORE MARKER ANOMALY / DISCOVERY
403	CORE MARKER ANOMALY / DISCOVERY
507	CORE MARKER ANOMALY / DISCOVERY
575	CORE ATTACK OWNERSHIP ANOMALY
598	CORE MARKER ANOMALY / DISCOVERY
697	CORE MARKER ANOMALY / DISCOVERY
758	CORE ATTACK OWNERSHIP ANOMALY
780	CORE MARKER ANOMALY / DISCOVERY
882	CORE MARKER ANOMALY / DISCOVERY
948	CORE ATTACK OWNERSHIP ANOMALY
970	CORE MARKER ANOMALY / DISCOVERY
1081	CORE MARKER ANOMALY / DISCOVERY
1147	CORE ATTACK OWNERSHIP ANOMALY
1169	CORE MARKER ANOMALY / DISCOVERY
1268	CORE MARKER ANOMALY / DISCOVERY
1333	CORE ATTACK OWNERSHIP ANOMALY
1355	CORE MARKER ANOMALY / DISCOVERY
1458	CORE MARKER ANOMALY / DISCOVERY
1523	CORE ATTACK OWNERSHIP ANOMALY
1545	CORE MARKER ANOMALY / DISCOVERY
1649	CORE MARKER ANOMALY / DISCOVERY
1714	CORE ATTACK OWNERSHIP ANOMALY
1736	CORE MARKER ANOMALY / DISCOVERY
1838	CORE MARKER ANOMALY / DISCOVERY
1903	CORE ATTACK OWNERSHIP ANOMALY
1925	CORE MARKER ANOMALY / DISCOVERY
2028	CORE MARKER ANOMALY / DISCOVERY
2093	CORE ATTACK OWNERSHIP ANOMALY
2115	CORE MARKER ANOMALY / DISCOVERY
2214	CORE MARKER ANOMALY / DISCOVERY
2279	CORE ATTACK OWNERSHIP ANOMALY
2301	CORE MARKER ANOMALY / DISCOVERY
2405	CORE MARKER ANOMALY / DISCOVERY
2470	CORE ATTACK OWNERSHIP ANOMALY
2492	CORE MARKER ANOMALY / DISCOVERY
2605	CORE MARKER ANOMALY / DISCOVERY
2672	CORE ATTACK OWNERSHIP ANOMALY
