Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
37	CORE MARKER ANOMALY / DISCOVERY
139	CORE MARKER ANOMALY / DISCOVERY
200	CORE ATTACK OWNERSHIP ANOMALY
221	CORE MARKER ANOMALY / DISCOVERY
317	CORE MARKER ANOMALY / DISCOVERY
382	CORE ATTACK OWNERSHIP ANOMALY
405	CORE MARKER ANOMALY / DISCOVERY
505	CORE MARKER ANOMALY / DISCOVERY
565	CORE ATTACK OWNERSHIP ANOMALY
587	CORE MARKER ANOMALY / DISCOVERY
691	CORE MARKER ANOMALY / DISCOVERY
757	CORE ATTACK OWNERSHIP ANOMALY
779	CORE MARKER ANOMALY / DISCOVERY
882	CORE MARKER ANOMALY / DISCOVERY
947	CORE ATTACK OWNERSHIP ANOMALY
968	CORE MARKER ANOMALY / DISCOVERY
1081	CORE MARKER ANOMALY / DISCOVERY
1146	CORE MARKER ANOMALY / DISCOVERY
1259	CORE MARKER ANOMALY / DISCOVERY
1320	CORE ATTACK OWNERSHIP ANOMALY
1342	CORE MARKER ANOMALY / DISCOVERY
1445	CORE MARKER ANOMALY / DISCOVERY
1509	CORE ATTACK OWNERSHIP ANOMALY
1531	CORE MARKER ANOMALY / DISCOVERY
1630	CORE MARKER ANOMALY / DISCOVERY
1695	CORE ATTACK OWNERSHIP ANOMALY
1717	CORE MARKER ANOMALY / DISCOVERY
1820	CORE MARKER ANOMALY / DISCOVERY
1885	CORE ATTACK OWNERSHIP ANOMALY
1906	CORE MARKER ANOMALY / DISCOVERY
2004	CORE MARKER ANOMALY / DISCOVERY
2069	CORE ATTACK OWNERSHIP ANOMALY
2091	CORE MARKER ANOMALY / DISCOVERY
2192	CORE MARKER ANOMALY / DISCOVERY
2258	CORE ATTACK OWNERSHIP ANOMALY
2280	CORE MARKER ANOMALY / DISCOVERY
2384	CORE MARKER ANOMALY / DISCOVERY
2449	CORE ATTACK OWNERSHIP ANOMALY
2471	CORE MARKER ANOMALY / DISCOVERY
2575	CORE MARKER ANOMALY / DISCOVERY
2639	CORE ATTACK OWNERSHIP ANOMALY
2661	CORE MARKER ANOMALY / DISCOVERY
2765	CORE MARKER ANOMALY / DISCOVERY
2831	CORE ATTACK OWNERSHIP ANOMALY
2853	CORE MARKER ANOMALY / DISCOVERY
2966	CORE MARKER ANOMALY / DISCOVERY
