File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59622
full_source_part_002.txt	287	542	59715
full_source_part_003.txt	543	821	59696
full_source_part_004.txt	822	1053	59775
full_source_part_005.txt	1054	1290	59931
full_source_part_006.txt	1291	1569	59890
full_source_part_007.txt	1570	1801	59621
full_source_part_008.txt	1802	2063	59879
full_source_part_009.txt	2064	2344	59913
full_source_part_010.txt	2345	2602	59552
full_source_part_011.txt	2603	2882	59726
full_source_part_012.txt	2883	3024	43628
