Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
36	CORE MARKER ANOMALY / DISCOVERY
133	CORE MARKER ANOMALY / DISCOVERY
194	CORE ATTACK OWNERSHIP ANOMALY
216	CORE MARKER ANOMALY / DISCOVERY
320	CORE MARKER ANOMALY / DISCOVERY
386	CORE ATTACK OWNERSHIP ANOMALY
409	CORE MARKER ANOMALY / DISCOVERY
510	CORE MARKER ANOMALY / DISCOVERY
568	CORE ATTACK OWNERSHIP ANOMALY
590	CORE MARKER ANOMALY / DISCOVERY
694	CORE MARKER ANOMALY / DISCOVERY
758	CORE ATTACK OWNERSHIP ANOMALY
780	CORE MARKER ANOMALY / DISCOVERY
885	CORE MARKER ANOMALY / DISCOVERY
952	CORE ATTACK OWNERSHIP ANOMALY
974	CORE MARKER ANOMALY / DISCOVERY
1076	CORE MARKER ANOMALY / DISCOVERY
1141	CORE ATTACK OWNERSHIP ANOMALY
1163	CORE MARKER ANOMALY / DISCOVERY
1265	CORE MARKER ANOMALY / DISCOVERY
1329	CORE ATTACK OWNERSHIP ANOMALY
1351	CORE MARKER ANOMALY / DISCOVERY
1459	CORE MARKER ANOMALY / DISCOVERY
