Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
35	CORE MARKER ANOMALY / DISCOVERY
134	CORE MARKER ANOMALY / DISCOVERY
193	CORE ATTACK OWNERSHIP ANOMALY
214	CORE MARKER ANOMALY / DISCOVERY
327	CORE MARKER ANOMALY / DISCOVERY
398	CORE ATTACK OWNERSHIP ANOMALY
420	CORE MARKER ANOMALY / DISCOVERY
514	CORE MARKER ANOMALY / DISCOVERY
573	CORE ATTACK OWNERSHIP ANOMALY
595	CORE MARKER ANOMALY / DISCOVERY
707	CORE MARKER ANOMALY / DISCOVERY
776	CORE ATTACK OWNERSHIP ANOMALY
797	CORE MARKER ANOMALY / DISCOVERY
900	CORE MARKER ANOMALY / DISCOVERY
965	CORE ATTACK OWNERSHIP ANOMALY
987	CORE MARKER ANOMALY / DISCOVERY
1090	CORE MARKER ANOMALY / DISCOVERY
1156	CORE ATTACK OWNERSHIP ANOMALY
1179	CORE MARKER ANOMALY / DISCOVERY
1280	CORE MARKER ANOMALY / DISCOVERY
1340	CORE ATTACK OWNERSHIP ANOMALY
1362	CORE MARKER ANOMALY / DISCOVERY
1473	CORE MARKER ANOMALY / DISCOVERY
1544	CORE ATTACK OWNERSHIP ANOMALY
1566	CORE MARKER ANOMALY / DISCOVERY
