Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
53	CORE ATTACK OWNERSHIP ANOMALY
96	CORE ATTACK OWNERSHIP ANOMALY
137	CORE ATTACK OWNERSHIP ANOMALY
180	CORE ATTACK OWNERSHIP ANOMALY
222	CORE ATTACK OWNERSHIP ANOMALY
264	CORE ATTACK OWNERSHIP ANOMALY
306	CORE ATTACK OWNERSHIP ANOMALY
368	CORE ATTACK OWNERSHIP ANOMALY
423	CORE ATTACK OWNERSHIP ANOMALY
500	CORE ATTACK OWNERSHIP ANOMALY
543	CORE ATTACK OWNERSHIP ANOMALY
640	CORE ATTACK OWNERSHIP ANOMALY
683	CORE ATTACK OWNERSHIP ANOMALY
720	CORE ATTACK OWNERSHIP ANOMALY
762	CORE ATTACK OWNERSHIP ANOMALY
825	CORE ATTACK OWNERSHIP ANOMALY
897	CORE ATTACK OWNERSHIP ANOMALY
952	CORE ATTACK OWNERSHIP ANOMALY
