Line	Signal	Text
5	CLEAR_TRIGGERED_LIST	C1Repair: exact outstanding live equipped Item_Attack source -> Item_Equipped after native AISetState opportunity; no ClearTriggeredList.
33	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=37993.330 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
35	CLEAR_TRIGGERED_LIST	CORE RAW55_PHYSICAL_FIST_MARKER Actor=Troll C1=1 OriginFamily=QUICK CurrentFamily=QUICK Action=4 StatePosition=0 StateTime=0.034971 Right=TrollFist RightUseType=55 GroupBefore=5 GroupAfter=7 AuthoredFistCount=2 AcceptedFistCount=1 EarlyOpeningSuppressed=0 FirstMarkerStatePosition=0 NormalNativeClearSuppressed=0 GroupRequested=1 ClearTriggeredList=1 Result=11
37	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=38063.104 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=7 Before=7 After=7 MarkerBitsRetired=0
39	ON_DAMAGE	CORE ONDAMAGE ElapsedMs=38130.038 Ordinal=1 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=12 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Ambient_N_Fwd_00_%_10_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
43	C1_FINAL	CORE C1_FINAL ElapsedMs=38424.363 Actor=PC_Hero Generation=2 Status=PERSISTED SourceCount=0 PhysicalChanged=0
44	CLEAR_TRIGGERED_LIST	CORE RAW55_PHYSICAL_FIST_MARKER Actor=Troll C1=1 OriginFamily=QUICK CurrentFamily=QUICK Action=4 StatePosition=1 StateTime=0.595799 Right=TrollFist RightUseType=55 GroupBefore=7 GroupAfter=7 AuthoredFistCount=2 AcceptedFistCount=2 EarlyOpeningSuppressed=0 FirstMarkerStatePosition=0 NormalNativeClearSuppressed=0 GroupRequested=0 ClearTriggeredList=1 Result=11
46	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=38683.792 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=5 Before=7 After=5 MarkerBitsRetired=0
47	C1_CLEANUP_FULFILLED	CORE C1 CLEANUP FULFILLED ElapsedMs=38683.813 Actor=Troll Generation=1 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
48	C1_FINAL	CORE C1_FINAL ElapsedMs=38772.022 Actor=Troll Generation=1 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
70	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=40027.803 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
72	CLEAR_TRIGGERED_LIST	CORE RAW55_PHYSICAL_FIST_MARKER Actor=Troll C1=3 OriginFamily=QUICK CurrentFamily=QUICK Action=5 StatePosition=0 StateTime=0.041667 Right=TrollFist RightUseType=55 GroupBefore=5 GroupAfter=7 AuthoredFistCount=2 AcceptedFistCount=1 EarlyOpeningSuppressed=0 FirstMarkerStatePosition=0 NormalNativeClearSuppressed=0 GroupRequested=1 ClearTriggeredList=1 Result=11
74	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=40085.287 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=7 Before=7 After=7 MarkerBitsRetired=0
76	ON_DAMAGE	CORE ONDAMAGE ElapsedMs=40176.931 Ordinal=2 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=5 PlayerMotion=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_00_%_02_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
80	C1_FINAL	CORE C1_FINAL ElapsedMs=40465.705 Actor=PC_Hero Generation=4 Status=PERSISTED SourceCount=0 PhysicalChanged=0
81	CLEAR_TRIGGERED_LIST	CORE RAW55_PHYSICAL_FIST_MARKER Actor=Troll C1=3 OriginFamily=QUICK CurrentFamily=QUICK Action=5 StatePosition=1 StateTime=0.606639 Right=TrollFist RightUseType=55 GroupBefore=7 GroupAfter=7 AuthoredFistCount=2 AcceptedFistCount=2 EarlyOpeningSuppressed=0 FirstMarkerStatePosition=0 NormalNativeClearSuppressed=0 GroupRequested=0 ClearTriggeredList=1 Result=11
83	ON_DAMAGE	CORE ONDAMAGE ElapsedMs=40658.428 Ordinal=3 Target=PC_Hero Arg1=PC_Hero Arg2=PC_Hero Caller=Game.dll+0x00069484 PlayerAction=0 PlayerPhase=3 PlayerMotion=Hero_Stand_None_None_P0_StumbleR_Recover_N_Back_00_%_00_P0_0.xmot Raw8Fist=<none> Raw8UseType=-1 Raw8Group=-1
87	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=40728.369 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=5 Before=7 After=5 MarkerBitsRetired=0
88	C1_CLEANUP_FULFILLED	CORE C1 CLEANUP FULFILLED ElapsedMs=40728.390 Actor=Troll Generation=3 Status=PERSISTED Source=TrollFist Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
89	C1_FINAL	CORE C1_FINAL ElapsedMs=40824.088 Actor=Troll Generation=3 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=TrollFist Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=TrollFist Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
90	C1_FINAL	CORE C1_FINAL ElapsedMs=40957.345 Actor=PC_Hero Generation=5 Status=PERSISTED SourceCount=0 PhysicalChanged=0
114	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=43362.603 Source=TrollFist UseType=55 Owner=Troll Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
