Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
38	CORE MARKER ANOMALY / DISCOVERY
139	CORE MARKER ANOMALY / DISCOVERY
199	CORE ATTACK OWNERSHIP ANOMALY
221	CORE MARKER ANOMALY / DISCOVERY
321	CORE MARKER ANOMALY / DISCOVERY
387	CORE ATTACK OWNERSHIP ANOMALY
410	CORE MARKER ANOMALY / DISCOVERY
511	CORE MARKER ANOMALY / DISCOVERY
574	CORE ATTACK OWNERSHIP ANOMALY
596	CORE MARKER ANOMALY / DISCOVERY
699	CORE MARKER ANOMALY / DISCOVERY
763	CORE ATTACK OWNERSHIP ANOMALY
785	CORE MARKER ANOMALY / DISCOVERY
898	CORE MARKER ANOMALY / DISCOVERY
966	CORE ATTACK OWNERSHIP ANOMALY
988	CORE MARKER ANOMALY / DISCOVERY
1089	CORE MARKER ANOMALY / DISCOVERY
1153	CORE ATTACK OWNERSHIP ANOMALY
1175	CORE MARKER ANOMALY / DISCOVERY
1273	CORE MARKER ANOMALY / DISCOVERY
1337	CORE ATTACK OWNERSHIP ANOMALY
1359	CORE MARKER ANOMALY / DISCOVERY
1469	CORE MARKER ANOMALY / DISCOVERY
1529	CORE ATTACK OWNERSHIP ANOMALY
1551	CORE MARKER ANOMALY / DISCOVERY
1653	CORE MARKER ANOMALY / DISCOVERY
1715	CORE ATTACK OWNERSHIP ANOMALY
1737	CORE MARKER ANOMALY / DISCOVERY
1839	CORE MARKER ANOMALY / DISCOVERY
1903	CORE ATTACK OWNERSHIP ANOMALY
1925	CORE MARKER ANOMALY / DISCOVERY
2028	CORE MARKER ANOMALY / DISCOVERY
2092	CORE ATTACK OWNERSHIP ANOMALY
2114	CORE MARKER ANOMALY / DISCOVERY
2217	CORE MARKER ANOMALY / DISCOVERY
2283	CORE ATTACK OWNERSHIP ANOMALY
2305	CORE MARKER ANOMALY / DISCOVERY
2407	CORE MARKER ANOMALY / DISCOVERY
2472	CORE ATTACK OWNERSHIP ANOMALY
2494	CORE MARKER ANOMALY / DISCOVERY
2597	CORE MARKER ANOMALY / DISCOVERY
2662	CORE ATTACK OWNERSHIP ANOMALY
2684	CORE MARKER ANOMALY / DISCOVERY
2788	CORE MARKER ANOMALY / DISCOVERY
2852	CORE ATTACK OWNERSHIP ANOMALY
2874	CORE MARKER ANOMALY / DISCOVERY
2977	CORE MARKER ANOMALY / DISCOVERY
3041	CORE ATTACK OWNERSHIP ANOMALY
3063	CORE MARKER ANOMALY / DISCOVERY
3164	CORE MARKER ANOMALY / DISCOVERY
3229	CORE ATTACK OWNERSHIP ANOMALY
3251	CORE MARKER ANOMALY / DISCOVERY
3353	CORE MARKER ANOMALY / DISCOVERY
3419	CORE ATTACK OWNERSHIP ANOMALY
3442	CORE MARKER ANOMALY / DISCOVERY
3543	CORE MARKER ANOMALY / DISCOVERY
3607	CORE ATTACK OWNERSHIP ANOMALY
3629	CORE MARKER ANOMALY / DISCOVERY
3735	CORE MARKER ANOMALY / DISCOVERY
3799	CORE ATTACK OWNERSHIP ANOMALY
3821	CORE MARKER ANOMALY / DISCOVERY
3918	CORE MARKER ANOMALY / DISCOVERY
3983	CORE ATTACK OWNERSHIP ANOMALY
4005	CORE MARKER ANOMALY / DISCOVERY
4108	CORE MARKER ANOMALY / DISCOVERY
4172	CORE ATTACK OWNERSHIP ANOMALY
4194	CORE MARKER ANOMALY / DISCOVERY
4301	CORE MARKER ANOMALY / DISCOVERY
4367	CORE ATTACK OWNERSHIP ANOMALY
4389	CORE MARKER ANOMALY / DISCOVERY
4488	CORE MARKER ANOMALY / DISCOVERY
4553	CORE ATTACK OWNERSHIP ANOMALY
4575	CORE MARKER ANOMALY / DISCOVERY
4679	CORE MARKER ANOMALY / DISCOVERY
4745	CORE ATTACK OWNERSHIP ANOMALY
4767	CORE MARKER ANOMALY / DISCOVERY
4881	CORE MARKER ANOMALY / DISCOVERY
