File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59621
full_source_part_002.txt	287	543	59885
full_source_part_003.txt	544	823	59870
full_source_part_004.txt	824	1055	59708
full_source_part_005.txt	1056	1311	59996
full_source_part_006.txt	1312	1586	59786
full_source_part_007.txt	1587	1822	59846
full_source_part_008.txt	1823	2082	59644
full_source_part_009.txt	2083	2364	59760
full_source_part_010.txt	2365	2615	59994
full_source_part_011.txt	2616	2904	59901
full_source_part_012.txt	2905	3140	59852
full_source_part_013.txt	3141	3400	59914
full_source_part_014.txt	3401	3676	59754
full_source_part_015.txt	3677	3905	59868
full_source_part_016.txt	3906	4167	59882
full_source_part_017.txt	4168	4439	59813
full_source_part_018.txt	4440	4672	59951
full_source_part_019.txt	4673	4925	59768
full_source_part_020.txt	4926	4945	5809
