Line	Event
16	CORE ATTACK OWNERSHIP ANOMALY
38	CORE MARKER ANOMALY / DISCOVERY
140	CORE MARKER ANOMALY / DISCOVERY
201	CORE ATTACK OWNERSHIP ANOMALY
223	CORE MARKER ANOMALY / DISCOVERY
325	CORE MARKER ANOMALY / DISCOVERY
390	CORE ATTACK OWNERSHIP ANOMALY
412	CORE MARKER ANOMALY / DISCOVERY
515	CORE MARKER ANOMALY / DISCOVERY
586	CORE MARKER ANOMALY / DISCOVERY
697	CORE MARKER ANOMALY / DISCOVERY
777	CORE ATTACK OWNERSHIP ANOMALY
799	CORE MARKER ANOMALY / DISCOVERY
903	CORE MARKER ANOMALY / DISCOVERY
988	CORE ATTACK OWNERSHIP ANOMALY
1010	CORE MARKER ANOMALY / DISCOVERY
1102	CORE ATTACK OWNERSHIP ANOMALY
1125	CORE MARKER ANOMALY / DISCOVERY
1224	CORE MARKER ANOMALY / DISCOVERY
1310	CORE ATTACK OWNERSHIP ANOMALY
1332	CORE MARKER ANOMALY / DISCOVERY
1404	CORE ATTACK OWNERSHIP ANOMALY
1426	CORE MARKER ANOMALY / DISCOVERY
1488	CORE ATTACK OWNERSHIP ANOMALY
1510	CORE MARKER ANOMALY / DISCOVERY
1621	CORE MARKER ANOMALY / DISCOVERY
1740	CORE ATTACK OWNERSHIP ANOMALY
1763	CORE MARKER ANOMALY / DISCOVERY
1865	CORE MARKER ANOMALY / DISCOVERY
1948	CORE ATTACK OWNERSHIP ANOMALY
1970	CORE MARKER ANOMALY / DISCOVERY
2057	CORE ATTACK OWNERSHIP ANOMALY
2079	CORE MARKER ANOMALY / DISCOVERY
2157	CORE ATTACK OWNERSHIP ANOMALY
2180	CORE MARKER ANOMALY / DISCOVERY
2279	CORE MARKER ANOMALY / DISCOVERY
2354	CORE ATTACK OWNERSHIP ANOMALY
2376	CORE MARKER ANOMALY / DISCOVERY
2488	CORE MARKER ANOMALY / DISCOVERY
2541	CORE ATTACK OWNERSHIP ANOMALY
2563	CORE MARKER ANOMALY / DISCOVERY
2643	CORE ATTACK OWNERSHIP ANOMALY
2666	CORE MARKER ANOMALY / DISCOVERY
2765	CORE MARKER ANOMALY / DISCOVERY
