File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	303	59823
full_source_part_002.txt	304	598	59841
full_source_part_003.txt	599	817	59742
full_source_part_004.txt	818	1039	59705
full_source_part_005.txt	1040	1254	59815
full_source_part_006.txt	1255	1455	59798
full_source_part_007.txt	1456	1677	59975
full_source_part_008.txt	1678	1894	59873
full_source_part_009.txt	1895	2089	59948
full_source_part_010.txt	2090	2317	59953
full_source_part_011.txt	2318	2542	59973
full_source_part_012.txt	2543	2779	59948
full_source_part_013.txt	2780	3026	59876
full_source_part_014.txt	3027	3298	59752
full_source_part_015.txt	3299	3563	59855
full_source_part_016.txt	3564	3823	59940
full_source_part_017.txt	3824	4104	59879
full_source_part_018.txt	4105	4383	59961
full_source_part_019.txt	4384	4671	59933
full_source_part_020.txt	4672	4968	59944
full_source_part_021.txt	4969	5263	59983
full_source_part_022.txt	5264	5552	59957
full_source_part_023.txt	5553	5843	59898
full_source_part_024.txt	5844	6133	59975
full_source_part_025.txt	6134	6417	59890
full_source_part_026.txt	6418	6668	59887
full_source_part_027.txt	6669	6919	59909
full_source_part_028.txt	6920	7194	59728
full_source_part_029.txt	7195	7479	59916
full_source_part_030.txt	7480	7733	59933
full_source_part_031.txt	7734	7992	59983
full_source_part_032.txt	7993	8202	59953
full_source_part_033.txt	8203	8431	59965
full_source_part_034.txt	8432	8689	59837
full_source_part_035.txt	8690	8951	59778
full_source_part_036.txt	8952	9200	59865
full_source_part_037.txt	9201	9433	59815
full_source_part_038.txt	9434	9699	59637
full_source_part_039.txt	9700	9952	59727
full_source_part_040.txt	9953	10183	59879
full_source_part_041.txt	10184	10447	59937
full_source_part_042.txt	10448	10726	59924
full_source_part_043.txt	10727	10996	59912
full_source_part_044.txt	10997	11276	59991
full_source_part_045.txt	11277	11556	59923
full_source_part_046.txt	11557	11863	59765
full_source_part_047.txt	11864	12125	59997
full_source_part_048.txt	12126	12395	59950
full_source_part_049.txt	12396	12666	59853
full_source_part_050.txt	12667	12943	59854
full_source_part_051.txt	12944	13218	59788
full_source_part_052.txt	13219	13456	59787
full_source_part_053.txt	13457	13729	59911
full_source_part_054.txt	13730	13968	59805
full_source_part_055.txt	13969	14230	59926
full_source_part_056.txt	14231	14478	59967
full_source_part_057.txt	14479	14723	59700
full_source_part_058.txt	14724	14961	59860
full_source_part_059.txt	14962	15197	59803
full_source_part_060.txt	15198	15487	60000
full_source_part_061.txt	15488	15757	59941
full_source_part_062.txt	15758	16035	59822
full_source_part_063.txt	16036	16298	59903
full_source_part_064.txt	16299	16564	59772
full_source_part_065.txt	16565	16832	59926
full_source_part_066.txt	16833	17110	59868
full_source_part_067.txt	17111	17393	59962
full_source_part_068.txt	17394	17636	59734
full_source_part_069.txt	17637	17882	59716
full_source_part_070.txt	17883	18096	59691
full_source_part_071.txt	18097	18328	59824
full_source_part_072.txt	18329	18571	59837
full_source_part_073.txt	18572	18819	59828
full_source_part_074.txt	18820	19046	59921
full_source_part_075.txt	19047	19305	59754
full_source_part_076.txt	19306	19551	59792
full_source_part_077.txt	19552	19838	59857
full_source_part_078.txt	19839	20098	59826
full_source_part_079.txt	20099	20360	59920
full_source_part_080.txt	20361	20613	59682
full_source_part_081.txt	20614	20860	59834
full_source_part_082.txt	20861	20907	9980
