Line	Signal	Text
18801	C1_FINAL	CORE C1_FINAL ElapsedMs=1701734.735 Actor=PC_Hero Generation=2184 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=It_1H_Longsword_01 Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=It_1H_Longsword_01 Side=LEFT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING
18802	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1701761.706 Source=Fist UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
18814	C1_FINAL	CORE C1_FINAL ElapsedMs=1702073.763 Actor=TRex Generation=2190 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
18840	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1702737.750 Source=Fist UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
18856	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=1702881.788 Actor=TRex Action=1 Family=NORMAL Motion=TRex_Stand_None_Fist_P0_Attack_Hit_N_Fwd_00_%_00_P0_200.xmot C1=2192 Raw8Fist=Fist OpportunityOrdinal=274 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
18857	C1_FINAL	CORE C1_FINAL ElapsedMs=1702881.820 Actor=TRex Generation=2192 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
18863	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1703351.779 Source=Fist UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
18900	C1_FINAL	CORE C1_FINAL ElapsedMs=1703860.795 Actor=PC_Hero Generation=2191 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=It_1H_Longsword_01 Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING Source[1]=It_1H_Longsword_01 Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
18902	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1703869.609 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
18911	C1_FINAL	CORE C1_FINAL ElapsedMs=1703971.756 Actor=TRex Generation=2194 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
18912	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1703972.131 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=7 Before=7 After=7 MarkerBitsRetired=0
18915	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1704273.848 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=5 Before=7 After=5 MarkerBitsRetired=0
18916	C1_CLEANUP_FULFILLED	CORE C1 CLEANUP FULFILLED ElapsedMs=1704273.876 Actor=PC_Hero Generation=2195 Status=PERSISTED Source=It_1H_Longsword_01 Side=RIGHT Requests=2 Outstanding=0 CleanupObserved=1 Group=5
18917	C1_FINAL	CORE C1_FINAL ElapsedMs=1704273.907 Actor=PC_Hero Generation=2195 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=It_1H_Longsword_01 Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=It_1H_Longsword_01 Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
