File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	247	59980
full_source_part_002.txt	248	499	59918
full_source_part_003.txt	500	683	59654
full_source_part_004.txt	684	870	59812
full_source_part_005.txt	871	1053	59909
full_source_part_006.txt	1054	1244	59756
full_source_part_007.txt	1245	1438	59857
full_source_part_008.txt	1439	1630	59815
full_source_part_009.txt	1631	1816	59983
full_source_part_010.txt	1817	2005	59984
full_source_part_011.txt	2006	2191	59885
full_source_part_012.txt	2192	2380	59984
full_source_part_013.txt	2381	2566	59885
full_source_part_014.txt	2567	2756	59842
full_source_part_015.txt	2757	2948	59790
full_source_part_016.txt	2949	3136	59785
full_source_part_017.txt	3137	3323	59950
full_source_part_018.txt	3324	3379	17727
