Line	Signal	Text
2905	C1_FINAL	CORE C1_FINAL ElapsedMs=87245.164 Actor=Sabertooth Generation=102 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
2911	C1_FINAL	CORE C1_FINAL ElapsedMs=87280.841 Actor=Transform_Sabertooth_Potion Generation=101 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
2917	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=87341.271 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
2918	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=87378.026 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
2934	ON_DAMAGE	CORE ONDAMAGE ElapsedMs=87502.792 Ordinal=36 Target=Sabertooth Arg1=Fist_Sabertooth Arg2=Transform_Sabertooth_Potion Caller=Game.dll+0x0016E348 PlayerAction=4 PlayerPhase=1 PlayerMotion=Sabertooth_Stand_None_Fist_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P0_200_R.xmot Raw8Fist=Fist_Sabertooth Raw8UseType=8 Raw8Group=0
2973	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=87784.847 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=103 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=74 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
2974	C1_FINAL	CORE C1_FINAL ElapsedMs=87784.888 Actor=Sabertooth Generation=103 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
2980	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=87878.430 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
2981	C1_FINAL	CORE C1_FINAL ElapsedMs=87898.516 Actor=Transform_Sabertooth_Potion Generation=104 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
2987	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=87995.783 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3015	ON_DAMAGE	CORE ONDAMAGE ElapsedMs=88122.971 Ordinal=37 Target=Sabertooth Arg1=Fist_Sabertooth Arg2=Transform_Sabertooth_Potion Caller=Game.dll+0x0016E348 PlayerAction=5 PlayerPhase=1 PlayerMotion=Sabertooth_Stand_None_Fist_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_200_L.xmot Raw8Fist=Fist_Sabertooth Raw8UseType=8 Raw8Group=0
3042	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=88319.316 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=105 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=76 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3043	C1_FINAL	CORE C1_FINAL ElapsedMs=88319.352 Actor=Sabertooth Generation=105 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3049	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=88413.911 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3050	C1_FINAL	CORE C1_FINAL ElapsedMs=88515.347 Actor=Transform_Sabertooth_Potion Generation=106 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3098	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=88855.250 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=107 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=78 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3099	C1_FINAL	CORE C1_FINAL ElapsedMs=88855.304 Actor=Sabertooth Generation=107 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3105	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=88952.306 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3153	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=89393.051 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=108 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=79 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3154	C1_FINAL	CORE C1_FINAL ElapsedMs=89393.087 Actor=Sabertooth Generation=108 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3160	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=90602.951 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3207	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=91044.479 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=109 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=80 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3208	C1_FINAL	CORE C1_FINAL ElapsedMs=91044.516 Actor=Sabertooth Generation=109 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3214	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=91141.270 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3263	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=91588.957 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=110 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=81 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3264	C1_FINAL	CORE C1_FINAL ElapsedMs=91589.036 Actor=Sabertooth Generation=110 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3270	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=91688.820 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3319	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=92136.657 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=111 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=82 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3320	C1_FINAL	CORE C1_FINAL ElapsedMs=92136.692 Actor=Sabertooth Generation=111 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
3326	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=92234.260 Source=Fist_Sabertooth UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
3374	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=92681.268 Actor=Sabertooth Action=9 Family=SPRINT Motion=Sabertooth_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_300.xmot C1=112 Raw8Fist=Fist_Sabertooth OpportunityOrdinal=83 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
3375	C1_FINAL	CORE C1_FINAL ElapsedMs=92681.304 Actor=Sabertooth Generation=112 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist_Sabertooth Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
